# kayfabe-mmu::walker decode of cuda/walk/corpus/real_ga106.bin
# image <name> <benign 0|1> <leaf count>
# leaf <va-hex> <phys-hex> <size-hex> <aperture 0..3> <read_only 0|1>
image real_ga106_vas_2efa4c000 1 263
leaf 120000000 10402f000 1000 2 0
leaf 120001000 2efa41000 1000 0 0
leaf 120002000 2efa42000 1000 0 0
leaf 120003000 2efa43000 1000 0 0
leaf 120004000 2efa44000 1000 0 0
leaf 120005000 2ef943000 1000 0 0
leaf 120006000 2ef944000 1000 0 0
leaf 120007000 2ef945000 1000 0 0
leaf 120010000 1275c0000 10000 2 0
leaf 120020000 2eec96000 1000 0 0
leaf 120021000 2eec97000 1000 0 0
leaf 120022000 2eec98000 1000 0 0
leaf 120023000 2eec99000 1000 0 0
leaf 120024000 2eec9a000 1000 0 0
leaf 120025000 2eec9b000 1000 0 0
leaf 120026000 2eec9c000 1000 0 0
leaf 120027000 2eec9d000 1000 0 0
leaf 120028000 2eec9e000 1000 0 0
leaf 120029000 2eec9f000 1000 0 0
leaf 12002a000 2eeca0000 1000 0 0
leaf 12002b000 2eeca1000 1000 0 0
leaf 12002c000 2eeca2000 1000 0 0
leaf 12002d000 2eeca3000 1000 0 0
leaf 12002e000 2eeca4000 1000 0 0
leaf 12002f000 2eeca5000 1000 0 0
leaf 120030000 2eeca6000 1000 0 0
leaf 120031000 2eeca7000 1000 0 0
leaf 120032000 2eeca8000 1000 0 0
leaf 120033000 2eeca9000 1000 0 0
leaf 120034000 2eecaa000 1000 0 0
leaf 120035000 2eecab000 1000 0 0
leaf 120036000 2eecac000 1000 0 0
leaf 120037000 2eecad000 1000 0 0
leaf 120038000 2eecae000 1000 0 0
leaf 120039000 2eecaf000 1000 0 0
leaf 12003a000 2eecb0000 1000 0 0
leaf 12003b000 2eecb1000 1000 0 0
leaf 12003c000 2eecb2000 1000 0 0
leaf 12003d000 2eecb3000 1000 0 0
leaf 12003e000 2eecb4000 1000 0 0
leaf 12003f000 2eecb5000 1000 0 0
leaf 120040000 2eecb6000 1000 0 0
leaf 120041000 2eecb7000 1000 0 0
leaf 120042000 2eecb8000 1000 0 0
leaf 120043000 2eecb9000 1000 0 0
leaf 120044000 2eecba000 1000 0 0
leaf 120045000 2eecbb000 1000 0 0
leaf 120046000 2eecbc000 1000 0 0
leaf 120047000 2eecbd000 1000 0 0
leaf 120048000 2eecbe000 1000 0 0
leaf 120049000 2eecbf000 1000 0 0
leaf 12004a000 2eecc0000 1000 0 0
leaf 12004b000 2eecc1000 1000 0 0
leaf 12004c000 2eecc2000 1000 0 0
leaf 12004d000 2eecc3000 1000 0 0
leaf 12004e000 2eecc4000 1000 0 0
leaf 12004f000 2eecc5000 1000 0 0
leaf 120050000 2eecc6000 1000 0 0
leaf 120051000 2eecc7000 1000 0 0
leaf 120052000 2eecc8000 1000 0 0
leaf 120053000 2eecc9000 1000 0 0
leaf 120054000 2eecca000 1000 0 0
leaf 120055000 2eeccb000 1000 0 0
leaf 120056000 2eeccc000 1000 0 0
leaf 120057000 2eeccd000 1000 0 0
leaf 120058000 2eecce000 1000 0 0
leaf 120059000 2eeccf000 1000 0 0
leaf 12005a000 2eecd0000 1000 0 0
leaf 12005b000 2eecd1000 1000 0 0
leaf 12005c000 2eecd2000 1000 0 0
leaf 12005d000 2eecd3000 1000 0 0
leaf 12005e000 2eecd4000 1000 0 0
leaf 12005f000 2eecd5000 1000 0 0
leaf 120060000 2eecd6000 1000 0 0
leaf 120061000 2eecd7000 1000 0 0
leaf 120062000 2eecd8000 1000 0 0
leaf 120063000 2eecd9000 1000 0 0
leaf 120064000 2eecda000 1000 0 0
leaf 120065000 2eecdb000 1000 0 0
leaf 120066000 2eecdc000 1000 0 0
leaf 120067000 2eecdd000 1000 0 0
leaf 120068000 2eecde000 1000 0 0
leaf 120069000 2eecdf000 1000 0 0
leaf 12006a000 2eece0000 1000 0 0
leaf 12006b000 2eece1000 1000 0 0
leaf 12006c000 2eece2000 1000 0 0
leaf 12006d000 2eece3000 1000 0 0
leaf 12006e000 2eece4000 1000 0 0
leaf 12006f000 2eece5000 1000 0 0
leaf 120070000 2eece6000 1000 0 0
leaf 120071000 2eece7000 1000 0 0
leaf 120072000 2eece8000 1000 0 0
leaf 120073000 2eece9000 1000 0 0
leaf 120074000 2eecea000 1000 0 0
leaf 120075000 2eeceb000 1000 0 0
leaf 120076000 2eecec000 1000 0 0
leaf 120077000 2eeced000 1000 0 0
leaf 120078000 2eecee000 1000 0 0
leaf 120079000 2eecef000 1000 0 0
leaf 12007a000 2eecf0000 1000 0 0
leaf 12007b000 2eecf1000 1000 0 0
leaf 12007c000 2eecf2000 1000 0 0
leaf 12007d000 2eecf3000 1000 0 0
leaf 12007e000 2eecf4000 1000 0 0
leaf 12007f000 2eecf5000 1000 0 0
leaf 120080000 2eecf6000 1000 0 0
leaf 120081000 2eecf7000 1000 0 0
leaf 120082000 2eecf8000 1000 0 0
leaf 120083000 2eecf9000 1000 0 0
leaf 120084000 2eecfa000 1000 0 0
leaf 120085000 2eecfb000 1000 0 0
leaf 120086000 2eecfc000 1000 0 0
leaf 120087000 2eecfd000 1000 0 0
leaf 120088000 2eecfe000 1000 0 0
leaf 120089000 2eecff000 1000 0 0
leaf 12008a000 2eed00000 1000 0 0
leaf 12008b000 2eed01000 1000 0 0
leaf 12008c000 2eed02000 1000 0 0
leaf 12008d000 2eed03000 1000 0 0
leaf 12008e000 2eed04000 1000 0 0
leaf 12008f000 2eed05000 1000 0 0
leaf 120090000 2eed06000 1000 0 0
leaf 120091000 2eed07000 1000 0 0
leaf 120092000 2eed08000 1000 0 0
leaf 120093000 2eed09000 1000 0 0
leaf 120094000 2eed0a000 1000 0 0
leaf 120095000 2eed0b000 1000 0 0
leaf 120096000 2eed0c000 1000 0 0
leaf 120097000 2eed0d000 1000 0 0
leaf 120098000 2eed0e000 1000 0 0
leaf 120099000 2eed0f000 1000 0 0
leaf 12009a000 2eed10000 1000 0 0
leaf 12009b000 2eed11000 1000 0 0
leaf 12009c000 2eed12000 1000 0 0
leaf 12009d000 2eed13000 1000 0 0
leaf 12009e000 2eed14000 1000 0 0
leaf 12009f000 2eed15000 1000 0 0
leaf 1200a0000 2eed16000 1000 0 0
leaf 1200a1000 2eed17000 1000 0 0
leaf 1200a2000 2eed18000 1000 0 0
leaf 1200a3000 2eed19000 1000 0 0
leaf 1200a4000 2eed1a000 1000 0 0
leaf 1200a5000 2eed1b000 1000 0 0
leaf 1200a6000 2eed1c000 1000 0 0
leaf 1200a7000 2eed1d000 1000 0 0
leaf 1200a8000 2eed1e000 1000 0 0
leaf 1200a9000 2eed1f000 1000 0 0
leaf 1200aa000 2eed20000 1000 0 0
leaf 1200ab000 2eed21000 1000 0 0
leaf 1200ac000 2eed22000 1000 0 0
leaf 1200ad000 2eed23000 1000 0 0
leaf 1200ae000 2eed24000 1000 0 0
leaf 1200af000 2eed25000 1000 0 0
leaf 1200b0000 2eed26000 1000 0 0
leaf 1200b1000 2eed27000 1000 0 0
leaf 1200b2000 2eed28000 1000 0 0
leaf 1200b3000 2eed29000 1000 0 0
leaf 1200b4000 2eed2a000 1000 0 0
leaf 1200b5000 2eed2b000 1000 0 0
leaf 1200b6000 2eed2c000 1000 0 0
leaf 1200b7000 2eed2d000 1000 0 0
leaf 1200b8000 2eed2e000 1000 0 0
leaf 1200b9000 2eed2f000 1000 0 0
leaf 1200ba000 2eed30000 1000 0 0
leaf 1200bb000 2eed31000 1000 0 0
leaf 1200bc000 2eed32000 1000 0 0
leaf 1200bd000 2eed33000 1000 0 0
leaf 1200be000 2eed34000 1000 0 0
leaf 1200bf000 2eed35000 1000 0 0
leaf 1200c0000 2eed36000 1000 0 0
leaf 1200c1000 2eed37000 1000 0 0
leaf 1200c2000 2eed38000 1000 0 0
leaf 1200c3000 2eed39000 1000 0 0
leaf 1200c4000 2eed3a000 1000 0 0
leaf 1200c5000 2eed3b000 1000 0 0
leaf 1200c6000 2eed3c000 1000 0 0
leaf 1200c7000 2eed3d000 1000 0 0
leaf 1200c8000 2eed3e000 1000 0 0
leaf 1200c9000 2eed3f000 1000 0 0
leaf 1200ca000 2eed40000 1000 0 0
leaf 1200cb000 2eed41000 1000 0 0
leaf 1200cc000 2eed42000 1000 0 0
leaf 1200cd000 2eed43000 1000 0 0
leaf 1200ce000 2eed44000 1000 0 0
leaf 1200cf000 2eed45000 1000 0 0
leaf 1200d0000 2eed46000 1000 0 0
leaf 1200d1000 2eed47000 1000 0 0
leaf 1200d2000 2eed48000 1000 0 0
leaf 1200d3000 2eed49000 1000 0 0
leaf 1200d4000 2eed4a000 1000 0 0
leaf 1200d5000 2eed4b000 1000 0 0
leaf 1200d6000 2eed4c000 1000 0 0
leaf 1200d7000 2eed4d000 1000 0 0
leaf 1200d8000 2eed4e000 1000 0 0
leaf 1200d9000 2eed4f000 1000 0 0
leaf 1200da000 2eed50000 1000 0 0
leaf 1200db000 2eed51000 1000 0 0
leaf 1200dc000 2eed52000 1000 0 0
leaf 1200dd000 2eed53000 1000 0 0
leaf 1200de000 2eed54000 1000 0 0
leaf 1200df000 2eed55000 1000 0 0
leaf 1200e0000 2eed56000 1000 0 0
leaf 1200e1000 2eed57000 1000 0 0
leaf 1200e2000 2eed58000 1000 0 0
leaf 1200e3000 2eed59000 1000 0 0
leaf 1200e4000 2eed5a000 1000 0 0
leaf 1200e5000 2eed5b000 1000 0 0
