# kayfabe-mmu::walker decode of cuda/walk/corpus/corpus.bin
# image <name> <benign 0|1> <leaf count>
# leaf <va-hex> <phys-hex> <size-hex> <aperture 0..3> <read_only 0|1>
image single_4k 1 1
leaf 80c0e0a00000 30000 1000 0 0
image long_run_1024 1 1024
leaf 80c0e0a00000 40000 1000 0 0
leaf 80c0e0a01000 41000 1000 0 0
leaf 80c0e0a02000 42000 1000 0 0
leaf 80c0e0a03000 43000 1000 0 0
leaf 80c0e0a04000 44000 1000 0 0
leaf 80c0e0a05000 45000 1000 0 0
leaf 80c0e0a06000 46000 1000 0 0
leaf 80c0e0a07000 47000 1000 0 0
leaf 80c0e0a08000 48000 1000 0 0
leaf 80c0e0a09000 49000 1000 0 0
leaf 80c0e0a0a000 4a000 1000 0 0
leaf 80c0e0a0b000 4b000 1000 0 0
leaf 80c0e0a0c000 4c000 1000 0 0
leaf 80c0e0a0d000 4d000 1000 0 0
leaf 80c0e0a0e000 4e000 1000 0 0
leaf 80c0e0a0f000 4f000 1000 0 0
leaf 80c0e0a10000 50000 1000 0 0
leaf 80c0e0a11000 51000 1000 0 0
leaf 80c0e0a12000 52000 1000 0 0
leaf 80c0e0a13000 53000 1000 0 0
leaf 80c0e0a14000 54000 1000 0 0
leaf 80c0e0a15000 55000 1000 0 0
leaf 80c0e0a16000 56000 1000 0 0
leaf 80c0e0a17000 57000 1000 0 0
leaf 80c0e0a18000 58000 1000 0 0
leaf 80c0e0a19000 59000 1000 0 0
leaf 80c0e0a1a000 5a000 1000 0 0
leaf 80c0e0a1b000 5b000 1000 0 0
leaf 80c0e0a1c000 5c000 1000 0 0
leaf 80c0e0a1d000 5d000 1000 0 0
leaf 80c0e0a1e000 5e000 1000 0 0
leaf 80c0e0a1f000 5f000 1000 0 0
leaf 80c0e0a20000 60000 1000 0 0
leaf 80c0e0a21000 61000 1000 0 0
leaf 80c0e0a22000 62000 1000 0 0
leaf 80c0e0a23000 63000 1000 0 0
leaf 80c0e0a24000 64000 1000 0 0
leaf 80c0e0a25000 65000 1000 0 0
leaf 80c0e0a26000 66000 1000 0 0
leaf 80c0e0a27000 67000 1000 0 0
leaf 80c0e0a28000 68000 1000 0 0
leaf 80c0e0a29000 69000 1000 0 0
leaf 80c0e0a2a000 6a000 1000 0 0
leaf 80c0e0a2b000 6b000 1000 0 0
leaf 80c0e0a2c000 6c000 1000 0 0
leaf 80c0e0a2d000 6d000 1000 0 0
leaf 80c0e0a2e000 6e000 1000 0 0
leaf 80c0e0a2f000 6f000 1000 0 0
leaf 80c0e0a30000 70000 1000 0 0
leaf 80c0e0a31000 71000 1000 0 0
leaf 80c0e0a32000 72000 1000 0 0
leaf 80c0e0a33000 73000 1000 0 0
leaf 80c0e0a34000 74000 1000 0 0
leaf 80c0e0a35000 75000 1000 0 0
leaf 80c0e0a36000 76000 1000 0 0
leaf 80c0e0a37000 77000 1000 0 0
leaf 80c0e0a38000 78000 1000 0 0
leaf 80c0e0a39000 79000 1000 0 0
leaf 80c0e0a3a000 7a000 1000 0 0
leaf 80c0e0a3b000 7b000 1000 0 0
leaf 80c0e0a3c000 7c000 1000 0 0
leaf 80c0e0a3d000 7d000 1000 0 0
leaf 80c0e0a3e000 7e000 1000 0 0
leaf 80c0e0a3f000 7f000 1000 0 0
leaf 80c0e0a40000 80000 1000 0 0
leaf 80c0e0a41000 81000 1000 0 0
leaf 80c0e0a42000 82000 1000 0 0
leaf 80c0e0a43000 83000 1000 0 0
leaf 80c0e0a44000 84000 1000 0 0
leaf 80c0e0a45000 85000 1000 0 0
leaf 80c0e0a46000 86000 1000 0 0
leaf 80c0e0a47000 87000 1000 0 0
leaf 80c0e0a48000 88000 1000 0 0
leaf 80c0e0a49000 89000 1000 0 0
leaf 80c0e0a4a000 8a000 1000 0 0
leaf 80c0e0a4b000 8b000 1000 0 0
leaf 80c0e0a4c000 8c000 1000 0 0
leaf 80c0e0a4d000 8d000 1000 0 0
leaf 80c0e0a4e000 8e000 1000 0 0
leaf 80c0e0a4f000 8f000 1000 0 0
leaf 80c0e0a50000 90000 1000 0 0
leaf 80c0e0a51000 91000 1000 0 0
leaf 80c0e0a52000 92000 1000 0 0
leaf 80c0e0a53000 93000 1000 0 0
leaf 80c0e0a54000 94000 1000 0 0
leaf 80c0e0a55000 95000 1000 0 0
leaf 80c0e0a56000 96000 1000 0 0
leaf 80c0e0a57000 97000 1000 0 0
leaf 80c0e0a58000 98000 1000 0 0
leaf 80c0e0a59000 99000 1000 0 0
leaf 80c0e0a5a000 9a000 1000 0 0
leaf 80c0e0a5b000 9b000 1000 0 0
leaf 80c0e0a5c000 9c000 1000 0 0
leaf 80c0e0a5d000 9d000 1000 0 0
leaf 80c0e0a5e000 9e000 1000 0 0
leaf 80c0e0a5f000 9f000 1000 0 0
leaf 80c0e0a60000 a0000 1000 0 0
leaf 80c0e0a61000 a1000 1000 0 0
leaf 80c0e0a62000 a2000 1000 0 0
leaf 80c0e0a63000 a3000 1000 0 0
leaf 80c0e0a64000 a4000 1000 0 0
leaf 80c0e0a65000 a5000 1000 0 0
leaf 80c0e0a66000 a6000 1000 0 0
leaf 80c0e0a67000 a7000 1000 0 0
leaf 80c0e0a68000 a8000 1000 0 0
leaf 80c0e0a69000 a9000 1000 0 0
leaf 80c0e0a6a000 aa000 1000 0 0
leaf 80c0e0a6b000 ab000 1000 0 0
leaf 80c0e0a6c000 ac000 1000 0 0
leaf 80c0e0a6d000 ad000 1000 0 0
leaf 80c0e0a6e000 ae000 1000 0 0
leaf 80c0e0a6f000 af000 1000 0 0
leaf 80c0e0a70000 b0000 1000 0 0
leaf 80c0e0a71000 b1000 1000 0 0
leaf 80c0e0a72000 b2000 1000 0 0
leaf 80c0e0a73000 b3000 1000 0 0
leaf 80c0e0a74000 b4000 1000 0 0
leaf 80c0e0a75000 b5000 1000 0 0
leaf 80c0e0a76000 b6000 1000 0 0
leaf 80c0e0a77000 b7000 1000 0 0
leaf 80c0e0a78000 b8000 1000 0 0
leaf 80c0e0a79000 b9000 1000 0 0
leaf 80c0e0a7a000 ba000 1000 0 0
leaf 80c0e0a7b000 bb000 1000 0 0
leaf 80c0e0a7c000 bc000 1000 0 0
leaf 80c0e0a7d000 bd000 1000 0 0
leaf 80c0e0a7e000 be000 1000 0 0
leaf 80c0e0a7f000 bf000 1000 0 0
