# DATA-vs-ACT classification of every GSP_RM_CONTROL demanded in cap1_coldboot_hermetic.
# Task #179 (replay-conformance). Source of truth: ogkm-580.159.04 (NVIDIA open kernel
# modules 580.159.04) — the driver the bench guest runs. ⚠ Every citation is against that
# tag; research_clones/ogkm is 610.43.02 and disagrees.
#
# bucket   DATA    the reply is the whole answer; params carry [out]; servable from a table
#          ACT     params are all [in]; the reply only acknowledges something that HAPPENED
#          MIXED   params carry both directions AND the call causes a device-side effect
#          UNKNOWN not decidable from this tree — the reason is in `note`
#
# ⊘ A control's NAME does not decide this. Each row was decided from the params struct and
#   from what the CPU-side caller does with the params AFTER the RPC returns.
# ⊘ `RMCTRL_FLAGS_CACHEABLE` (0x400, ogkm-580: src/nvidia/inc/kernel/rmapi/control.h:255-260)
#   is a ONE-WAY witness: present ⇒ DATA. Absent ⇒ nothing; most of RM predates the flag.
#   `CACHEABLE_BY_INPUT` (0x20000) ⇒ DATA but the table must be keyed on the request params.
#
# totals: 53 controls — DATA 38, ACT 11, MIXED 1, UNKNOWN 3. Cited: 50/53 (94.3%).
#
id	bucket	conf	macro	params_struct	params_at	flags	cacheable	handler_or_caller	caller_at	note
0x20800a36	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_GPU_GET_CHIP_INFO	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS	ctrl2080internal.h:581	0x404c0	CACHEABLE	_gpuInitChipInfo	src/nvidia/src/kernel/gpu/gpu.c:887	reply is kept as pGpu->pChipInfo forever; fields copied at gpu.c:891-894, regBases read at gpu_gspclient.c:319-321
0x20800a41	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS	ctrl2080internal.h:779	0x4c0	CACHEABLE	gpuConstructUserRegisterAccessMap	src/nvidia/src/kernel/gpu/gpu_register_access_map.c:246	params zeroed then every field read out at :249-253, decompressed at :295-297
0x208001b0	DATA	HIGH	NV2080_CTRL_CMD_GPU_GET_CONSTRUCTED_FALCON_INFO	NV2080_CTRL_GPU_GET_CONSTRUCTED_FALCON_INFO_PARAMS	ctrl2080gpu.h:4476	0x10048	-	gpuBuildGenericKernelFalconList_IMPL	src/nvidia/src/kernel/gpu/gpu.c:5370	table drives objCreate; fields copied at gpu.c:5395-5399; the IS_VIRTUAL arm answers from a cached static struct
0x20800a87	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_NVLINK_GET_NVLINK_DEVICE_INFO	NV2080_CTRL_INTERNAL_NVLINK_GET_NVLINK_DEVICE_INFO_PARAMS	ctrl2080internal.h:4963	0xc0	-	knvlinkCopyNvlinkDeviceInfo_IMPL	src/nvidia/src/kernel/gpu/nvlink/kernel_nvlink.c:1822	"Update CPU-RM's NVLink state with the information received from GSP-RM RPC" :1836-1857
0x20800a40	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_GET_DEVICE_INFO_TABLE	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS	ctrl2080internal.h:767	0x1c4c0	CACHEABLE	gpuConstructDeviceInfoTable_FWCLIENT	src/nvidia/src/kernel/gpu/gpu_gspclient.c:225	one-shot; entries copied into DEVICE_INFO2_ENTRY at :244-259
0x20801112	DATA	HIGH	NV2080_CTRL_CMD_FIFO_GET_DEVICE_INFO_TABLE	NV2080_CTRL_FIFO_GET_DEVICE_INFO_TABLE_PARAMS	ctrl2080fifo.h:653	0x5c040	-	kfifoGetDeviceInfoTable	src/nvidia/src/kernel/gpu/fifo/kernel_fifo.c:2061	explicit doxygen baseIndex [in] / entries,numEntries,bMore [out] at ctrl2080fifo.h:600-613 — PAGED: a replay table must be keyed on baseIndex
0x20800a5c	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_INTR_GET_KERNEL_TABLE	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS	ctrl2080internal.h:1473	0xc0	-	intrInitInterruptTable_KERNEL	src/nvidia/src/kernel/gpu/intr/intr.c:1057	all fields tagged [OUT] at ctrl2080internal.h:1448-1458; unpacked at intr.c:1073-1086; re-fetched after a MIG reconfig (:1044-1048)
0x20800a1c	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_MEMSYS_GET_STATIC_CONFIG	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS	ctrl2080internal.h:97	0x5c0c0	-	kmemsysInitStaticConfig_KERNEL	src/nvidia/src/kernel/gpu/mem_sys/kern_mem_sys.c:466	passes the caller's MEMORY_SYSTEM_STATIC_CONFIG straight in as the params buffer (:474-477); its own doxygen says "[out] pConfig" (:459)
0x20801803	DATA	HIGH	NV2080_CTRL_CMD_BUS_GET_PCI_BAR_INFO	NV2080_CTRL_BUS_GET_PCI_BAR_INFO_PARAMS	ctrl2080bus.h:645	0x10518	CACHEABLE	kbusInitBarsSize_KERNEL	src/nvidia/src/kernel/gpu/bus/kern_bus.c:592	barSizeBytes copied into pKernelBus->pciBarSizes at :596-600
0x20800af3	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_CONF_COMPUTE_GET_STATIC_INFO	NV2080_CTRL_INTERNAL_CONF_COMPUTE_GET_STATIC_INFO_PARAMS	ctrl2080internal.h:3652	0xc0	-	confComputeStateInitLocked_IMPL	src/nvidia/src/kernel/gpu/conf_compute/conf_compute.c:559	&pConfCompute->ccStaticInfo passed as the params buffer; read back at :565-566
0x20800aac	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_BIF_GET_STATIC_INFO	NV2080_CTRL_INTERNAL_BIF_GET_STATIC_INFO_PARAMS	ctrl2080internal.h:2180	0x400c0	-	kbifStaticInfoInit_IMPL	src/nvidia/src/kernel/gpu/bif/kernel_bif.c:414	"Initialize Kernel object fields with RPC response" — 4 bools become PDB properties at :419-427
0x20800a61	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_FIFO_GET_NUM_CHANNELS	NV2080_CTRL_INTERNAL_FIFO_GET_NUM_CHANNELS_PARAMS	ctrl2080internal.h:1580	0x1d8	-	kfifoGetMaxChannelsInSystem	src/nvidia/src/kernel/gpu/fifo/kernel_fifo.c:1328	doxygen runlistId [IN] / numChannels [OUT] at :1572-1574 — INPUT-KEYED: replay must key on runlistId
0x20802a08	DATA	HIGH	NV2080_CTRL_CMD_CE_GET_FAULT_METHOD_BUFFER_SIZE	NV2080_CTRL_CE_GET_FAULT_METHOD_BUFFER_SIZE_PARAMS	ctrl2080ce.h:283	0x1c040	-	kceGetFaultMethodBufferSize_IMPL	src/nvidia/src/kernel/gpu/ce/kernel_ce.c:844	*size = params.size at :847; SR-IOV arm answers from pVSI->ceFaultMethodBufferDepth (:835) = table-servable. ⚠ a WRONG value is not caught here: it sizes a buffer RM DMAs into
0x20800afe	ACT	HIGH	NV2080_CTRL_CMD_INTERNAL_INIT_USER_SHARED_DATA	NV2080_CTRL_INTERNAL_INIT_USER_SHARED_DATA_PARAMS	ctrl2080internal.h:4006	0xc0	-	_gpushareddataInitGsp	src/nvidia/src/kernel/gpu/gpu_user_shared_data.c:221	both fields tagged @param[in] at :4000-4002; caller fills bInit + physAddr (:229-230) and never reads params back. Links the RUSD memdesc on the GSP side
0x20800aff	ACT	HIGH	NV2080_CTRL_CMD_INTERNAL_USER_SHARED_DATA_SET_DATA_POLL	NV2080_CTRL_INTERNAL_USER_SHARED_DATA_SET_DATA_POLL_PARAMS	ctrl2080internal.h:4025	0xc0	-	_gpushareddataSendDataPollRpc	src/nvidia/src/kernel/gpu/gpu_user_shared_data.c:351	both @param[in] at :4019-4020; after the call the caller records its own INPUT (:376). Reconfigures GSP's RUSD polling loop
0x20800301	ACT	HIGH	NV2080_CTRL_CMD_EVENT_SET_NOTIFICATION	NV2080_CTRL_EVENT_SET_NOTIFICATION_PARAMS	ctrl2080event.h:83	0x10118	-	subdeviceCtrlCmdEventSetNotification_IMPL	src/nvidia/src/kernel/gpu/subdevice/subdevice_ctrl_event_kernel.c:80	forwards the caller's buffer (:112-116) and updates notifyActions from the INPUT (:129,:137). Arms/disarms the notifier on GSP — a faked OK means events never fire
