# generated by scripts/demand_list.py from traces/cap1_coldboot_hermetic.rec
# trace sha256 5fa95640baaa2d5c5bef13ccae75b39350ad1bc0c57f83dfc5f509253e697788
# ⚠ cap1 is a trace of a boot that FAILS: this is a LOWER BOUND.
demand_rank	kind	id	name	rpc_function	rpc_function_name	count	first_record_index	first_element_ordinal	params_sizes
0	rpc	72	GSP_SET_SYSTEM_INFO	72	GSP_SET_SYSTEM_INFO	1	141946	0	0:1
1	rpc	73	SET_REGISTRY	73	SET_REGISTRY	1	141947	1	0:1
2	rpc	1	SET_GUEST_SYSTEM_INFO	1	SET_GUEST_SYSTEM_INFO	1	141948	2	0:1
3	rpc	65	GET_GSP_STATIC_INFO	65	GET_GSP_STATIC_INFO	1	141955	3	0:1
4	rpc	228	INIT_GSP_TRACE_CRASH_BUFFER	228	INIT_GSP_TRACE_CRASH_BUFFER	1	141962	4	0:1
5	control	0x20800a36	NV2080_CTRL_CMD_INTERNAL_GPU_GET_CHIP_INFO	76	GSP_RM_CONTROL	1	141969	5	88:1
6	control	0x20800a41	NV2080_CTRL_CMD_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP	76	GSP_RM_CONTROL	1	141976	6	8204:1
7	control	0x208001b0	NV2080_CTRL_CMD_GPU_GET_CONSTRUCTED_FALCON_INFO	76	GSP_RM_CONTROL	2	141985	7	1284:2
8	control	0x20800a87	NV2080_CTRL_CMD_INTERNAL_NVLINK_GET_NVLINK_DEVICE_INFO	76	GSP_RM_CONTROL	1	141999	9	1056:1
9	control	0x20800a40	NV2080_CTRL_CMD_INTERNAL_GET_DEVICE_INFO_TABLE	76	GSP_RM_CONTROL	1	142006	10	24580:1
10	control	0x20801112	NV2080_CTRL_CMD_FIFO_GET_DEVICE_INFO_TABLE	76	GSP_RM_CONTROL	1	142019	11	3212:1
11	control	0x20800a5c	NV2080_CTRL_CMD_INTERNAL_INTR_GET_KERNEL_TABLE	76	GSP_RM_CONTROL	1	142026	12	2112:1
12	control	0x20800a1c	NV2080_CTRL_CMD_INTERNAL_MEMSYS_GET_STATIC_CONFIG	76	GSP_RM_CONTROL	1	142033	13	40:1
13	control	0x20801803	NV2080_CTRL_CMD_BUS_GET_PCI_BAR_INFO	76	GSP_RM_CONTROL	1	142040	14	200:1
14	control	0x20800af3	NV2080_CTRL_CMD_INTERNAL_CONF_COMPUTE_GET_STATIC_INFO	76	GSP_RM_CONTROL	2	142048	15	2:2
15	control	0x20800aac	NV2080_CTRL_CMD_INTERNAL_BIF_GET_STATIC_INFO	76	GSP_RM_CONTROL	1	142060	16	4:1
16	control	0x20800a61	NV2080_CTRL_CMD_INTERNAL_FIFO_GET_NUM_CHANNELS	76	GSP_RM_CONTROL	4	142067	17	8:4
17	control	0x20802a08	NV2080_CTRL_CMD_CE_GET_FAULT_METHOD_BUFFER_SIZE	76	GSP_RM_CONTROL	5	142088	20	4:5
18	control	0x20800afe	NV2080_CTRL_CMD_INTERNAL_INIT_USER_SHARED_DATA	76	GSP_RM_CONTROL	2	142095	21	16:2
19	control	0x20800aff	NV2080_CTRL_CMD_INTERNAL_USER_SHARED_DATA_SET_DATA_POLL	76	GSP_RM_CONTROL	1	142102	22	16:1
20	alloc	0x00000000	NV01_ROOT	103	GSP_RM_ALLOC	9	142109	23	120:9
21	alloc	0x00000080	NV01_DEVICE_0	103	GSP_RM_ALLOC	9	142116	24	56:9
22	alloc	0x00002080	NV20_SUBDEVICE_0	103	GSP_RM_ALLOC	9	142123	25	4:9
