# census of mode2_initctrl_ga106.h — generated by scripts/census_initctrl.py
# c_repo_rev	8001cb5
# total	56
# complete	29
# truncated	16
# empty	11
# cmd	status	psize	dlen	arrlen	trailing_zeros_kept	c_line	class	body_sha256_16
0x00730107	0	12	8	8	2	6240	truncated	f186e70ce352a02f
0x00730151	0	40	40	40	40	6211	complete	2c34ce1df23b838c
0x00730211	0	16	16	16	3	6242	complete	eb959b4d2f5b510a
0x0073028b	0	56	56	56	19	6241	complete	d839a6be0a9dbbfb
0x2080012b	0	560	560	560	225	6237	complete	504075a896d1c0bc
0x2080013f	0	136	136	136	125	6238	complete	bb4b4811da7a987b
0x2080017e	0	8	0	0	0	6215	empty	e3b0c44298fc1c14
0x208001b0	0	1284	1280	1280	1117	6250	truncated	a1aad057ea9be867
0x20800301	0	20	16	16	11	6235	truncated	18b89af4336efcc5
0x20800a01	0	36	32	32	2	6261	truncated	37333b668ea371bf
0x20800a1c	0	40	40	40	3	6255	complete	a06bf8d68ce3ac61
0x20800a1f	0	184	176	176	153	6218	truncated	f2d240e2dff43bae
0x20800a22	0	34592	16376	16376	12053	6221	truncated	4fa3eb9b375f0f05
0x20800a26	0	3008	3008	3008	2635	6220	complete	dda31f82dd217ce7
0x20800a2a	0	3712	3712	3712	3255	6219	complete	80bd5c95518ddf0f
0x20800a2c	0	320	320	320	283	6223	complete	39e731c561ccd009
0x20800a2e	0	96	96	96	23	6224	complete	167b255839cd2118
0x20800a30	0	512	512	512	503	6222	complete	631fcde278a6ec4a
0x20800a32	0	1664	1664	1664	1458	6231	complete	238e5fedeb8882b0
0x20800a34	0	72	64	64	55	6225	truncated	75fe1e2a020f042c
0x20800a36	0	88	88	88	0	6248	complete	34e5826b3b7a9e3e
0x20800a38	0	24	24	24	0	6246	complete	7882aedd52ffc91d
0x20800a3d	0	32	32	32	31	6228	complete	84b3f13b0a4fbcce
0x20800a3f	0	256	256	256	231	6229	complete	9c8d1aa6fe13d024
0x20800a40	0	24580	16384	16384	15833	6252	truncated	8e44826f2722f580
0x20800a41	0	8204	8200	8200	6924	6249	truncated	b1b5b8b709315742
0x20800a48	0	8	8	8	7	6230	complete	7c9fa136d4413fa6
0x20800a49	0	24	16	16	5	6208	truncated	3a2f52dc09b35702
0x20800a4b	0	4	0	0	0	6257	empty	e3b0c44298fc1c14
0x20800a4c	0	4	0	0	0	6243	empty	e3b0c44298fc1c14
0x20800a59	0	16	16	16	5	6260	complete	633a2e5c008e3ba7
0x20800a5c	0	2112	2112	2112	7	6254	complete	dd006e857c7f0872
0x20800a61	0	8	8	8	2	6210	complete	a35ffc7906347f24
0x20800a6c	0	4	0	0	0	6245	empty	e3b0c44298fc1c14
0x20800a70	0	0	0	0	0	6244	empty	e3b0c44298fc1c14
0x20800a80	0	16	16	16	6	6209	complete	a15a89733093afdf
0x20800a87	86	1056	1056	1056	1056	6251	complete	10e2103ee7392193
0x20800a9f	0	184	176	176	43	6217	truncated	311b21a8aa6c25c0
0x20800aac	0	4	0	0	0	6258	empty	e3b0c44298fc1c14
0x20800ac6	0	4104	4072	4072	4071	6262	truncated	73fcf00c640de7fe
0x20800adf	0	8388	8368	8368	502	6263	truncated	389fc11af7062e5c
0x20800af3	0	2	0	0	0	6216	empty	e3b0c44298fc1c14
0x20800afe	0	16	16	16	16	6247	complete	374708fff7719dd5
0x20800aff	0	16	16	16	6	6259	complete	89828f608d55c6e1
0x20800b03	0	16352	8192	8192	8119	6226	truncated	fdbf77a075c28eb8
0x20800b05	86	16352	16352	16352	16352	6227	complete	6290e6592047ec80
0x20801112	0	3212	3208	3208	2104	6253	truncated	39701cd7aed02234
0x20801803	0	200	200	200	123	6256	complete	217749383d95ea8c
0x20802a06	0	4	0	0	0	6213	empty	e3b0c44298fc1c14
0x20802a08	0	4	0	0	0	6233	empty	e3b0c44298fc1c14
0x20802a0d	0	156	156	156	15	6214	complete	5acdb05bf1c6af02
0x20802a0f	0	28	16	16	15	6212	truncated	b1535c7783ea8829
0x402c0101	0	16	16	16	0	6239	complete	c501255abab4632e
0x90f10106	0	184	184	184	51	6232	complete	0405bf656968bc9d
0xa06f0103	0	3	0	0	0	6234	empty	e3b0c44298fc1c14
0xa06f0104	0	4	0	0	0	6236	empty	e3b0c44298fc1c14
