# tag	field	nvkvm-pv	driver-matrix	verdict
535.43.02	uvm_map_ext_size	1200	1200	agree
535.43.02	uvm_map_ext_fd_off	1184	1184	agree
535.43.02	uvm_sem_pool_size	1184	1184	agree
535.43.02	uvm_register_gpu_size	40	40	agree
535.43.02	uvm_register_gpu_fd_off	24	24	agree
535.43.02	uvm_register_gpu_status_off	36	36	agree
535.43.02	uvm_register_gpu_hclient_off	28	28	agree
535.43.02	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.02	chan_alloc_size	304	304	agree
535.43.02	vaspace_alloc_size	48	48	agree
535.43.02	mem_alloc_size	120	120	agree
535.43.02	nv00de_alloc_size	4	4	agree
535.43.02	nvos46_size	56	56	agree
535.43.02	nvos46_status_off	48	48	agree
535.43.08	uvm_map_ext_size	1200	1200	agree
535.43.08	uvm_map_ext_fd_off	1184	1184	agree
535.43.08	uvm_sem_pool_size	1184	1184	agree
535.43.08	uvm_register_gpu_size	40	40	agree
535.43.08	uvm_register_gpu_fd_off	24	24	agree
535.43.08	uvm_register_gpu_status_off	36	36	agree
535.43.08	uvm_register_gpu_hclient_off	28	28	agree
535.43.08	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.08	chan_alloc_size	360	360	agree
535.43.08	vaspace_alloc_size	48	48	agree
535.43.08	mem_alloc_size	120	120	agree
535.43.08	nv00de_alloc_size	4	4	agree
535.43.08	nvos46_size	56	56	agree
535.43.08	nvos46_status_off	48	48	agree
535.43.09	uvm_map_ext_size	1200	1200	agree
535.43.09	uvm_map_ext_fd_off	1184	1184	agree
535.43.09	uvm_sem_pool_size	1184	1184	agree
535.43.09	uvm_register_gpu_size	40	40	agree
535.43.09	uvm_register_gpu_fd_off	24	24	agree
535.43.09	uvm_register_gpu_status_off	36	36	agree
535.43.09	uvm_register_gpu_hclient_off	28	28	agree
535.43.09	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.09	chan_alloc_size	360	360	agree
535.43.09	vaspace_alloc_size	48	48	agree
535.43.09	mem_alloc_size	120	120	agree
535.43.09	nv00de_alloc_size	4	4	agree
535.43.09	nvos46_size	56	56	agree
535.43.09	nvos46_status_off	48	48	agree
535.43.10	uvm_map_ext_size	1200	1200	agree
535.43.10	uvm_map_ext_fd_off	1184	1184	agree
535.43.10	uvm_sem_pool_size	1184	1184	agree
535.43.10	uvm_register_gpu_size	40	40	agree
535.43.10	uvm_register_gpu_fd_off	24	24	agree
535.43.10	uvm_register_gpu_status_off	36	36	agree
535.43.10	uvm_register_gpu_hclient_off	28	28	agree
535.43.10	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.10	chan_alloc_size	360	360	agree
535.43.10	vaspace_alloc_size	48	48	agree
535.43.10	mem_alloc_size	120	120	agree
535.43.10	nv00de_alloc_size	4	4	agree
535.43.10	nvos46_size	56	56	agree
535.43.10	nvos46_status_off	48	48	agree
535.43.11	uvm_map_ext_size	1200	1200	agree
535.43.11	uvm_map_ext_fd_off	1184	1184	agree
535.43.11	uvm_sem_pool_size	1184	1184	agree
535.43.11	uvm_register_gpu_size	40	40	agree
535.43.11	uvm_register_gpu_fd_off	24	24	agree
535.43.11	uvm_register_gpu_status_off	36	36	agree
535.43.11	uvm_register_gpu_hclient_off	28	28	agree
535.43.11	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.11	chan_alloc_size	360	360	agree
535.43.11	vaspace_alloc_size	48	48	agree
535.43.11	mem_alloc_size	120	120	agree
