# kind	item	first_tag	last_tag	value    (measured by tools/drivermatrix/dm.py; tags 535.309.01..615.71.09, 29 of them)
# tags	535.309.01 545.23.08 550.40.07 550.54.14 550.90.07 555.42.02 560.28.03 565.57.01 570.86.15 570.124.06 570.148.08 575.51.02 575.51.03 575.57.08 575.64.05 580.65.06 580.82.07 580.94.02 580.95.05 580.105.08 580.126.09 580.159.04 580.173.02 580.178.04 590.48.01 595.84 610.43.02 610.57.04 615.71.09
sizeof	GSP_ARGUMENTS_CACHED	535.309.01	550.90.07	0+80
sizeof	GSP_ARGUMENTS_CACHED	555.42.02	565.57.01	0+64
sizeof	GSP_ARGUMENTS_CACHED	570.86.15	570.148.08	0+72
sizeof	GSP_ARGUMENTS_CACHED	575.51.02	590.48.01	0+88
sizeof	GSP_ARGUMENTS_CACHED	595.84	595.84	0+136
sizeof	GSP_ARGUMENTS_CACHED	610.43.02	610.57.04	0+152
sizeof	GSP_ARGUMENTS_CACHED	615.71.09	615.71.09	0+184
field	GSP_ARGUMENTS_CACHED.bDmemStack	535.309.01	565.57.01	ABSENT
field	GSP_ARGUMENTS_CACHED.bDmemStack	570.86.15	590.48.01	48+1
field	GSP_ARGUMENTS_CACHED.bDmemStack	595.84	610.57.04	80+1
field	GSP_ARGUMENTS_CACHED.bDmemStack	615.71.09	615.71.09	ABSENT
field	GSP_ARGUMENTS_CACHED.bindataArgs	535.309.01	595.84	ABSENT
field	GSP_ARGUMENTS_CACHED.bindataArgs	610.43.02	610.57.04	136+16
field	GSP_ARGUMENTS_CACHED.bindataArgs	615.71.09	615.71.09	152+16
field	GSP_ARGUMENTS_CACHED.bindataArgs.radix3	535.309.01	595.84	ABSENT
field	GSP_ARGUMENTS_CACHED.bindataArgs.radix3	610.43.02	610.57.04	136+8
field	GSP_ARGUMENTS_CACHED.bindataArgs.radix3	615.71.09	615.71.09	152+8
field	GSP_ARGUMENTS_CACHED.bindataArgs.size	535.309.01	595.84	ABSENT
field	GSP_ARGUMENTS_CACHED.bindataArgs.size	610.43.02	610.57.04	144+8
