GATE_START 2026-08-11T08:42:48+00:00 rev=a517402 scope=tail
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 533  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-linux-raw/src/chardev_unsafe.rs:157  from_fd
   ORPHAN  crates/kayfabe-linux-raw/src/chardev_unsafe.rs:163  as_fd
   ORPHAN  crates/kayfabe-linux-raw/src/chardev_unsafe.rs:296  at
   ORPHAN  crates/kayfabe-linux-raw/src/chardev_unsafe.rs:306  len
   ORPHAN  crates/kayfabe-linux-raw/src/chardev_unsafe.rs:316  is_empty
   ORPHAN  crates/kayfabe-linux-raw/src/chardev_unsafe.rs:385  adopt
   ORPHAN  crates/kayfabe-linux-raw/src/epoll_unsafe.rs:94  len
   ORPHAN  crates/kayfabe-linux-raw/src/epoll_unsafe.rs:100  is_empty
   ORPHAN  crates/kayfabe-linux-raw/src/epoll_unsafe.rs:124  create
   ORPHAN  crates/kayfabe-linux-raw/src/geometry.rs:137  validate_gpa_window
   ORPHAN  crates/kayfabe-linux-raw/src/host_fd_unsafe.rs:110  create_named
   ORPHAN  crates/kayfabe-linux-raw/src/host_fd_unsafe.rs:156  len_bytes
Terminated
mv: cannot stat 'crates/kayfabe-linux-raw/src/host_fd_unsafe.rs.orphan_gate_bak': No such file or directory
   ORPHAN  crates/kayfabe-linux-raw/src/ioctl.rs:59  declared_size
   ORPHAN  crates/kayfabe-linux-raw/src/ioctl.rs:90  read
   ORPHAN  crates/kayfabe-linux-raw/src/ioctl.rs:98  write
   ORPHAN  crates/kayfabe-linux-raw/src/ioctl.rs:104  none
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_gate.rs:72  kvm_available
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_gate.rs:92  report
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:206  adopt
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:220  try_clone_descriptor
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:446  set_memslot
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:474  clear_memslot
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:532  len_bytes
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:538  gpa
   ORPHAN  crates/kayfabe-linux-raw/src/kvm_unsafe.rs:550  window
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:446  cache_policy
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:453  len_bytes
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:522  slice
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:719  cache_policy
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:725  len_bytes
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:787  load_u64
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:795  store_u64
   ORPHAN  crates/kayfabe-linux-raw/src/mapping_unsafe.rs:888  len_bytes
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:180  parse
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:257  classify_physical
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:351  recorded_memtype
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:421  holds
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:444  effective_memtype
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:662  spread
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:674  is_stable
   ORPHAN  crates/kayfabe-linux-raw/src/memtype.rs:685  ns_per_read
