GATE_START 2026-08-11T08:47:18+00:00 rev=a517402 scope=midlayer
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 281  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-arch/src/gsp.rs:378  kind
   ORPHAN  crates/kayfabe-arch/src/gsp.rs:468  len
   ORPHAN  crates/kayfabe-arch/src/gsp.rs:474  is_empty
   ORPHAN  crates/kayfabe-arch/src/gsp.rs:479  iter
   ORPHAN  crates/kayfabe-arch/src/gsp.rs:610  window_len
   ORPHAN  crates/kayfabe-arch/src/lib.rs:333  name
   ORPHAN  crates/kayfabe-arch/src/lib.rs:1359  reset
   ORPHAN  crates/kayfabe-chips/src/ad10x.rs:153  new
   ORPHAN  crates/kayfabe-chips/src/ad10x.rs:162  at
   ORPHAN  crates/kayfabe-chips/src/ad10x.rs:339  new
   ORPHAN  crates/kayfabe-chips/src/ga10x.rs:419  decode_userd_index_chid
   ORPHAN  crates/kayfabe-chips/src/ga10x.rs:470  decode_work_submit_token
   ORPHAN  crates/kayfabe-chips/src/ga10x.rs:525  encode_work_submit_token
   ORPHAN  crates/kayfabe-chips/src/gh100.rs:358  new
   ORPHAN  crates/kayfabe-chips/src/gh100.rs:515  new
   ORPHAN  crates/kayfabe-chips/src/gh100.rs:524  at
   ORPHAN  crates/kayfabe-chips/src/gh100.rs:721  new
   ORPHAN  crates/kayfabe-completion/src/lib.rs:139  outstanding_len
   ORPHAN  crates/kayfabe-completion/src/lib.rs:145  has_outstanding
   ORPHAN  crates/kayfabe-completion/src/lib.rs:151  compose_into
   ORPHAN  crates/kayfabe-completion/src/lib.rs:158  drained
   ORPHAN  crates/kayfabe-completion/src/lib.rs:171  ack
   ORPHAN  crates/kayfabe-completion/src/lib.rs:179  take_unacked
   ORPHAN  crates/kayfabe-completion/src/lib.rs:230  armed_len
   ORPHAN  crates/kayfabe-completion/src/lib.rs:345  batch_outstanding
   ORPHAN  crates/kayfabe-core/src/fault.rs:111  attribution_note
   ORPHAN  crates/kayfabe-core/src/fault.rs:277  verdict
   ORPHAN  crates/kayfabe-core/src/gpa.rs:79  owned_by
   ORPHAN  crates/kayfabe-core/src/gpa.rs:86  owner
   ORPHAN  crates/kayfabe-core/src/gpa.rs:94  carve
   ORPHAN  crates/kayfabe-core/src/gpa.rs:134  window
   ORPHAN  crates/kayfabe-core/src/gpa.rs:140  arena_len
   ORPHAN  crates/kayfabe-core/src/gpa.rs:204  release
   ORPHAN  crates/kayfabe-core/src/gpa.rs:261  arena
   ORPHAN  crates/kayfabe-core/src/gpa.rs:316  owner
   ORPHAN  crates/kayfabe-core/src/gpa.rs:322  id
   ORPHAN  crates/kayfabe-core/src/gpa.rs:444  live_bytes
   ORPHAN  crates/kayfabe-core/src/gpa.rs:458  is_untouched
   ORPHAN  crates/kayfabe-core/src/gpu.rs:311  promote_orphans
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1273  new
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1285  len
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1431  client_values
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1550  pending_release_len
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1582  is_quiesced
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1628  vacate
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1654  retire
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1822  is_empty
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1831  deferred
   ORPHAN  crates/kayfabe-core/src/gpu.rs:1842  orphaned
   ORPHAN  crates/kayfabe-core/src/gpu.rs:4162  is_condemned
