GATE_START 2026-08-11T08:47:19+00:00 rev=a517402 scope=devgsp
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 458  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-device/src/bar2.rs:152  new
   ORPHAN  crates/kayfabe-device/src/bar2.rs:158  pdes
   ORPHAN  crates/kayfabe-device/src/bar2.rs:169  updates
   ORPHAN  crates/kayfabe-device/src/bar2.rs:175  refusals
   ORPHAN  crates/kayfabe-device/src/bar2.rs:180  publish
   ORPHAN  crates/kayfabe-device/src/bar2.rs:194  refuse
   ORPHAN  crates/kayfabe-device/src/bar2.rs:205  device_reset
   ORPHAN  crates/kayfabe-device/src/bar2.rs:235  why
   ORPHAN  crates/kayfabe-device/src/bar2.rs:256  decode_update_bar_pde
   ORPHAN  crates/kayfabe-device/src/bar2.rs:288  new
   ORPHAN  crates/kayfabe-device/src/bar2.rs:294  driver
   ORPHAN  crates/kayfabe-device/src/census.rs:243  set_probe_arm
   ORPHAN  crates/kayfabe-device/src/census.rs:249  note_served
   ORPHAN  crates/kayfabe-device/src/census.rs:271  note_arming
   ORPHAN  crates/kayfabe-device/src/census.rs:291  note_bind
   ORPHAN  crates/kayfabe-device/src/census.rs:311  snapshot
   ORPHAN  crates/kayfabe-device/src/census.rs:343  new
   ORPHAN  crates/kayfabe-device/src/ceresolve.rs:161  trigger
   ORPHAN  crates/kayfabe-device/src/ceresolve.rs:251  published_root
   ORPHAN  crates/kayfabe-device/src/ceresolve.rs:321  root_from_declared_pdb
   ORPHAN  crates/kayfabe-device/src/ceresolve.rs:410  place
   ORPHAN  crates/kayfabe-device/src/ceresolve.rs:519  resolve
   ORPHAN  crates/kayfabe-device/src/ceresolve.rs:689  walk_trace
   ORPHAN  crates/kayfabe-device/src/cpuintr.rs:208  decode
   ORPHAN  crates/kayfabe-device/src/cpuintr.rs:306  read
   ORPHAN  crates/kayfabe-device/src/cpuintr.rs:323  write
   ORPHAN  crates/kayfabe-device/src/cpuintr.rs:388  latch
   ORPHAN  crates/kayfabe-device/src/cpuintr.rs:446  any_pending
   ORPHAN  crates/kayfabe-device/src/doorbell.rs:153  is_served
   ORPHAN  crates/kayfabe-device/src/doorbell.rs:162  refusal
   ORPHAN  crates/kayfabe-device/src/doorbell.rs:171  token
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:125  new
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:137  total
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:146  shadow_total
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:152  access_cntr_total
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:158  sample
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:169  note
   ORPHAN  crates/kayfabe-device/src/faultbuffer.rs:204  new
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:132  new
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:139  raw
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:144  set_raw
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:150  base
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:156  target
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:177  fb_addr
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:441  tags
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:592  with_cap
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:604  limit
   ORPHAN  crates/kayfabe-device/src/fbwin.rs:610  resident_pages
   ORPHAN  crates/kayfabe-device/src/ga10x.rs:287  at
   ORPHAN  crates/kayfabe-device/src/guestsysinfo.rs:73  new
   ORPHAN  crates/kayfabe-device/src/guestsysinfo.rs:88  agreed_version
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:262  new
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:269  note
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:315  note_undecodable
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:322  snapshot
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:342  device_reset
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:355  is_pde_publication
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:374  new
   ORPHAN  crates/kayfabe-device/src/gvaspub.rs:380  driver
   ORPHAN  crates/kayfabe-device/src/inert.rs:107  new
   ORPHAN  crates/kayfabe-device/src/inert.rs:116  is_inert
   ORPHAN  crates/kayfabe-device/src/inittables.rs:168  is_gss_legacy
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1112  cmd_id
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1196  params_size
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1272  from_cmd
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1284  new
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1292  with_probe_arm
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1317  guest_firmware
   ORPHAN  crates/kayfabe-device/src/inittables.rs:1323  wanted
   ORPHAN  crates/kayfabe-device/src/lib.rs:187  contains
   ORPHAN  crates/kayfabe-device/src/lib.rs:212  contains
   ORPHAN  crates/kayfabe-device/src/lib.rs:616  pci_bar_len
   ORPHAN  crates/kayfabe-device/src/lib.rs:630  fb_window
   ORPHAN  crates/kayfabe-device/src/lib.rs:928  rom_for
   ORPHAN  crates/kayfabe-device/src/lib.rs:1099  served_chain
   ORPHAN  crates/kayfabe-device/src/nonstall.rs:116  non_stall_vector
   ORPHAN  crates/kayfabe-device/src/nonstall.rs:192  gsp_stall_vector
   ORPHAN  crates/kayfabe-device/src/osevent.rs:115  post
   ORPHAN  crates/kayfabe-device/src/osevent.rs:144  new
   ORPHAN  crates/kayfabe-device/src/osevent.rs:155  register
   ORPHAN  crates/kayfabe-device/src/osevent.rs:191  retire
   ORPHAN  crates/kayfabe-device/src/osevent.rs:212  batch
   ORPHAN  crates/kayfabe-device/src/osevent.rs:296  note
   ORPHAN  crates/kayfabe-device/src/osevent.rs:351  note_join
   ORPHAN  crates/kayfabe-device/src/osevent.rs:422  new
   ORPHAN  crates/kayfabe-device/src/plane.rs:256  new
   ORPHAN  crates/kayfabe-device/src/plane.rs:903  nothing
   ORPHAN  crates/kayfabe-device/src/plane.rs:1332  root
   ORPHAN  crates/kayfabe-device/src/plane.rs:1354  fb_len
   ORPHAN  crates/kayfabe-device/src/plane.rs:1413  new
   ORPHAN  crates/kayfabe-device/src/plane.rs:1531  rom
   ORPHAN  crates/kayfabe-device/src/plane.rs:1705  state_guard_for_test
   ORPHAN  crates/kayfabe-device/src/plane.rs:1721  doorbell_reg
   ORPHAN  crates/kayfabe-device/src/plane.rs:1755  bar_pde_log
   ORPHAN  crates/kayfabe-device/src/plane.rs:1784  set_page_dir_log
   ORPHAN  crates/kayfabe-device/src/plane.rs:1828  resolve_published_va
   ORPHAN  crates/kayfabe-device/src/plane.rs:1864  read_published_va
   ORPHAN  crates/kayfabe-device/src/plane.rs:1910  published_walk_trace
   ORPHAN  crates/kayfabe-device/src/plane.rs:2114  ce_session
   ORPHAN  crates/kayfabe-device/src/plane.rs:2160  gvas_pub_log
   ORPHAN  crates/kayfabe-device/src/plane.rs:2165  set_policy
   ORPHAN  crates/kayfabe-device/src/plane.rs:2492  fb_window_sample
   ORPHAN  crates/kayfabe-device/src/plane.rs:2499  phase
   ORPHAN  crates/kayfabe-device/src/plane.rs:2518  gsp_state
   ORPHAN  crates/kayfabe-device/src/setpagedir.rs:248  new
   ORPHAN  crates/kayfabe-device/src/setpagedir.rs:258  latest
   ORPHAN  crates/kayfabe-device/src/setpagedir.rs:264  total
   ORPHAN  crates/kayfabe-device/src/setpagedir.rs:275  refused
   ORPHAN  crates/kayfabe-device/src/setpagedir.rs:286  valid
   ORPHAN  crates/kayfabe-device/src/setpagedir.rs:291  publish
