04:34:33 0 MiB bar1=1MiB qemu_rss=39176 maps=162
04:34:41 8574 MiB bar1=4MiB qemu_rss=6770484 maps=245
04:34:53 8671 MiB bar1=4MiB qemu_rss=16961476 maps=247
04:34:58 8671 MiB bar1=4MiB qemu_rss=17144332 maps=247
04:35:03 8671 MiB bar1=4MiB qemu_rss=17304084 maps=247
04:35:08 8671 MiB bar1=4MiB qemu_rss=17465052 maps=247
04:35:14 8671 MiB bar1=4MiB qemu_rss=17480100 maps=247
04:35:19 8671 MiB bar1=4MiB qemu_rss=17589996 maps=275
04:35:24 8671 MiB bar1=4MiB qemu_rss=17638332 maps=279
04:35:29 8671 MiB bar1=4MiB qemu_rss=17928196 maps=367
04:35:34 8671 MiB bar1=4MiB qemu_rss=17969236 maps=419
04:35:39 8689 MiB bar1=11MiB qemu_rss=18234628 maps=482
04:35:45 8691 MiB bar1=13MiB qemu_rss=18360484 maps=482
04:35:50 8798 MiB bar1=25MiB qemu_rss=18416268 maps=527
04:35:55 8810 MiB bar1=41MiB qemu_rss=18422500 maps=527
04:36:00 8805 MiB bar1=57MiB qemu_rss=18438308 maps=517
04:36:05 8842 MiB bar1=73MiB qemu_rss=18446516 maps=517
04:36:10 8862 MiB bar1=89MiB qemu_rss=18449860 maps=517
04:36:16 8878 MiB bar1=105MiB qemu_rss=18451836 maps=517
04:36:21 8894 MiB bar1=121MiB qemu_rss=18451836 maps=509
04:36:26 8906 MiB bar1=133MiB qemu_rss=18459740 maps=507
04:36:31 8923 MiB bar1=149MiB qemu_rss=18462020 maps=486
04:36:36 8939 MiB bar1=165MiB qemu_rss=18480868 maps=505
04:36:41 8954 MiB bar1=181MiB qemu_rss=18481476 maps=505
04:36:47 8936 MiB bar1=197MiB qemu_rss=18485276 maps=505
04:36:52 8951 MiB bar1=211MiB qemu_rss=18485428 maps=503
04:36:57 8964 MiB bar1=223MiB qemu_rss=18485428 maps=494
04:37:02 8982 MiB bar1=243MiB qemu_rss=18485428 maps=501
04:37:07 8996 MiB bar1=255MiB qemu_rss=18485428 maps=501
04:37:12 8996 MiB bar1=255MiB qemu_rss=18485428 maps=501
