# w315 vmexit sampler tag=w315base start=2026-08-14T15:33:20+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786721600237 0 0 0 0 0 0
1786721601278 0 0 0 0 0 0
1786721602343 0 0 0 0 0 0
1786721603391 0 0 0 0 0 0
1786721604425 0 0 0 0 0 0
1786721605477 0 0 0 0 0 0
1786721606544 0 0 0 0 0 0
1786721607588 0 0 0 0 0 0
1786721608619 0 0 0 0 0 0
1786721609651 0 0 0 0 0 0
1786721610723 0 0 0 0 0 0
1786721611770 0 0 0 0 0 0
1786721612804 0 0 0 0 0 0
1786721613831 0 0 0 0 0 0
1786721614870 0 0 0 0 0 0
1786721615904 0 0 0 0 0 0
1786721616936 0 0 0 0 0 0
1786721617967 0 0 0 0 0 0
1786721619006 0 0 0 0 0 0
1786721620043 0 0 0 0 0 0
1786721621068 0 0 0 0 0 0
1786721622104 0 0 0 0 0 0
1786721623137 0 0 0 0 0 0
1786721624167 0 0 0 0 0 0
1786721625203 0 0 0 0 0 0
1786721626238 0 0 0 0 0 0
1786721627269 5465 1014 3217 58 2 1
1786721628300 37924 1332 29573 477 2 1
1786721629341 63596 2040 43624 796 2 1
1786721630384 89272 2868 58949 1031 2 1
1786721631420 115181 3681 72458 1304 2 1
1786721632465 152280 3947 79859 1757 2 1
1786721633495 189877 6012 94862 2158 2 1
1786721634527 223509 6687 117663 2588 273 1
1786721635558 273216 6820 136221 2915 1443 1
1786721636591 344910 6820 149277 3349 3393 1
1786721637624 399968 7910 163717 4046 4255 1
1786721638655 429627 8007 173156 4737 5611 1
1786721639686 446692 9529 176352 5146 7087 1
1786721640721 447653 9532 176381 5188 7206 1
1786721641757 486451 11650 177709 5898 12394 1
1786721642793 506245 11838 179221 6636 14746 1
1786721643823 539577 11931 194648 7846 15786 1
1786721644851 597080 12257 198237 9949 17352 1
1786721645885 641455 12282 208050 11565 18529 1
1786721646917 695583 12348 211665 13661 19592 1
1786721647954 729700 14378 213084 15031 21394 1
1786721648983 739799 14384 213175 15645 22240 1
1786721650026 752020 14384 213175 16186 23839 1
1786721651061 768204 14400 213255 17038 26356 1
1786721652092 802107 14523 213283 17473 26759 1
1786721653133 831327 18183 213393 18035 27067 1
1786721654183 831618 18183 213393 18056 27108 1
1786721655221 843486 26557 213393 18267 27495 1
1786721656264 872406 51468 213423 18596 27763 1
1786721657293 898782 75072 213423 18900 27931 1
1786721658324 923855 97289 213423 19183 28089 1
1786721659361 955075 102940 213615 19657 30005 1
1786721660391 983829 128689 213623 19878 30334 1
1786721661438 1000981 131603 213623 20573 32124 1
1786721662478 1015135 131603 213623 21288 34100 1
1786721663522 1029168 131609 213623 22024 36177 1
1786721664563 1046814 131609 213623 22821 38362 1
1786721665590 1060337 131615 213623 23534 39695 1
1786721666637 1076203 131615 213623 24321 41913 1
1786721667678 1095486 140767 213761 24953 43019 1
1786721668719 1136365 167249 213791 25756 44360 1
1786721669753 1171224 194683 213791 26215 44858 1
1786721670783 1196560 217063 213791 26523 45094 1
1786721671819 1237938 219199 213791 26954 45215 1
1786721672855 1266145 226029 213791 30895 45443 1
1786721673887 1280690 237051 213791 31077 45744 1
1786721674930 1285228 237060 213860 31301 47690 1
1786721675961 1289820 237075 213860 31692 49766 1
1786721676992 1300621 237429 213860 32328 51720 1
1786721678034 1309546 237870 213918 32573 53475 1
1786721679066 1310160 238027 213918 32587 53610 1
1786721680098 1311138 238257 213918 32613 53819 1
1786721681132 1311668 238422 213918 32628 53886 1
1786721682172 1312732 238685 213918 32677 54018 1
1786721683208 1321470 239480 213918 33078 55323 1
1786721684247 1329934 239531 213918 33878 56705 1
1786721685283 1331718 239580 213918 34889 56778 1
1786721686324 1332323 239657 213918 34909 56851 1
1786721687359 1345337 239793 213918 38943 57158 1
1786721688394 1346179 239852 213918 39073 57232 1
1786721689427 1352395 239909 213918 41337 57773 1
1786721690466 1361793 239968 213918 41738 59353 1
1786721691500 1369645 240017 213918 41968 61199 1
1786721692531 1377325 244409 213918 42795 61718 1
1786721693562 1377433 244409 213918 42797 61749 1
1786721694603 1384010 250519 213918 42838 61776 1
1786721695640 1413382 275827 213926 43082 62439 1
1786721696678 1428294 275833 213926 43808 64409 1
1786721697718 1444929 275833 213926 44617 66649 1
1786721698760 1459164 275839 213926 45292 68398 1
1786721699801 1475126 275839 213926 46071 70534 1
1786721700841 1492856 275845 213926 46878 72834 1
1786721701876 1509014 275845 213926 47680 75074 1
1786721702909 1525956 275852 213926 48458 77373 1
1786721703946 1542582 275852 213926 49218 79595 1
1786721704990 1559913 275858 213926 49977 81874 1
1786721706032 1577607 275858 213926 50785 84238 1
1786721707079 1595315 275864 213926 51563 86596 1
1786721708121 1607724 275864 213926 52409 87927 1
1786721709164 1636711 277888 219957 53619 89536 1
1786721710199 1662739 277888 225677 54596 91641 1
1786721711229 1681577 277894 228619 55354 94134 1
1786721712271 0 0 0 0 0 0
1786721713303 0 0 0 0 0 0
# end=2026-08-14T15:35:13+00:00
