# w315 vmexit sampler tag=w315census start=2026-08-14T15:36:58+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786721818759 0 0 0 0 0 0
1786721819814 0 0 0 0 0 0
1786721820870 0 0 0 0 0 0
1786721821922 0 0 0 0 0 0
1786721822979 0 0 0 0 0 0
1786721824035 0 0 0 0 0 0
1786721825082 0 0 0 0 0 0
1786721826126 0 0 0 0 0 0
1786721827178 0 0 0 0 0 0
1786721828224 0 0 0 0 0 0
1786721829273 0 0 0 0 0 0
1786721830322 0 0 0 0 0 0
1786721831378 0 0 0 0 0 0
1786721832426 0 0 0 0 0 0
1786721833476 0 0 0 0 0 0
1786721834534 0 0 0 0 0 0
1786721835593 0 0 0 0 0 0
1786721836647 0 0 0 0 0 0
1786721837699 0 0 0 0 0 1
1786721838747 29599 1112 24932 320 2 1
1786721839804 53808 2007 34520 595 2 1
1786721840861 76829 3014 44851 842 2 1
1786721841905 101562 3939 54120 1149 2 1
1786721842956 141108 5826 54713 1737 2 1
1786721844014 175759 6070 78710 1988 2 1
1786721845086 204431 6713 95710 2448 951 1
1786721846126 258771 6812 112064 3006 2857 1
1786721847165 323686 6814 124168 3516 4792 1
1786721848209 380693 7845 138110 4371 5868 1
1786721849246 409850 7942 147524 5331 7119 1
1786721850301 424640 9459 150602 5693 8428 1
1786721851359 431086 9494 150631 5775 8578 1
1786721852410 465545 11655 152070 6598 13846 1
1786721853454 483499 11768 153558 7414 16285 1
1786721854504 507820 11859 165424 8106 17303 1
1786721855538 564751 12158 171691 10035 18251 1
1786721856569 618660 12214 181942 11605 19419 1
1786721857592 669182 12280 186160 13524 21022 1
1786721858652 707816 14312 186944 14807 23044 1
1786721859702 710609 14318 187022 15164 23560 1
1786721860755 725420 14318 187032 16603 25559 1
1786721861793 746414 14353 187130 17480 27656 1
1786721862835 784641 14456 187130 18034 27853 1
1786721863863 811356 18116 187240 18604 28083 1
1786721864910 812224 18116 187240 18607 28513 1
1786721865961 828842 31100 187240 18793 29673 1
1786721867008 856224 55548 187270 19012 29901 1
1786721868061 884185 81102 187270 19222 29947 1
1786721869106 915179 99607 187462 19532 30212 1
1786721870150 943829 120812 187470 19869 32032 1
1786721871201 963373 131529 187470 20391 33347 1
1786721872252 977073 131536 187470 21135 35299 1
1786721873311 992142 131536 187470 21984 37453 1
1786721874366 1007599 131542 187470 22826 39513 1
1786721875416 1021582 131542 187470 23639 41147 1
1786721876475 1037630 131548 187470 24449 42905 1
1786721877522 1051755 131548 187470 25275 44932 1
1786721878563 1072252 145530 187608 25854 45620 1
1786721879615 1112921 171713 187638 26686 47038 1
1786721880667 1145979 197630 187638 27041 47495 1
1786721881719 1171425 219108 187638 27304 47693 1
1786721882772 1218408 222878 187638 27679 47783 1
1786721883824 1243841 236376 187638 27975 48044 1
1786721884877 1246276 236795 187638 27997 48589 1
1786721885927 1249679 236853 187707 28455 49834 1
1786721886982 1266203 237572 187707 29070 51826 1
1786721888041 1268591 237779 187707 29133 52672 1
1786721889086 1269997 238023 187707 29159 53039 1
1786721890123 1270750 238283 187707 29192 53153 1
1786721891175 1273426 238681 187707 29267 53387 1
1786721892228 1276158 239092 187707 29383 54252 1
1786721893275 1287801 239149 187707 29827 55951 1
1786721894331 1290834 239208 187707 29897 57180 1
1786721895382 1291490 239399 187707 29952 57265 1
1786721896441 1292222 239464 187765 30075 57345 1
1786721897490 1292843 239521 187765 30200 57413 1
1786721898536 1293996 239580 187765 30355 57690 1
1786721899589 1310749 243658 187765 31000 59500 1
1786721900632 1311988 244352 187765 31029 59608 1
1786721901682 1312117 244352 187765 31029 59649 1
1786721902730 1336200 265797 187773 31214 59957 1
1786721903790 1348230 275770 187773 31329 60368 1
1786721904846 1352277 275776 187773 31601 60957 1
1786721905897 1366441 275782 187773 32541 62957 1
1786721906947 1381418 275782 187773 33432 65036 1
1786721908003 1395777 275788 187773 34344 67084 1
1786721909060 1405605 275788 187773 35103 68573 1
1786721910117 1419326 275794 187773 36005 70551 1
1786721911171 1433447 275794 187773 36898 72515 1
1786721912226 1447453 275800 187773 37747 74505 1
1786721913282 1461850 275800 187773 38647 76525 1
1786721914339 1476015 275806 187773 39559 78545 1
1786721915387 1491118 275806 187773 40410 80582 1
1786721916446 1506604 275812 187773 41256 82686 1
1786721917506 1520736 275812 187773 42127 84670 1
1786721918559 1533229 275818 187773 43010 86316 1
1786721919612 1547259 275818 187773 43901 88150 1
1786721920669 1561511 275824 187773 44824 90178 1
1786721921720 1575833 275824 187809 45761 92153 1
1786721922777 1613792 277846 199382 47152 94104 1
1786721923830 1632280 277846 202321 48074 96596 1
1786721924881 0 0 0 0 0 0
1786721925933 0 0 0 0 0 0
# end=2026-08-14T15:38:46+00:00
