# w315 vmexit sampler tag=w315full2 start=2026-08-14T15:48:01+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786722481351 0 0 0 0 0 0
1786722482396 0 0 0 0 0 0
1786722483459 0 0 0 0 0 0
1786722484519 0 0 0 0 0 0
1786722485548 0 0 0 0 0 0
1786722486591 0 0 0 0 0 0
1786722487620 0 0 0 0 0 0
1786722488647 0 0 0 0 0 0
1786722489687 0 0 0 0 0 0
1786722490727 0 0 0 0 0 0
1786722491772 0 0 0 0 0 0
1786722492818 0 0 0 0 0 0
1786722493863 0 0 0 0 0 0
1786722494910 0 0 0 0 0 0
1786722495955 0 0 0 0 0 0
1786722496999 0 0 0 0 0 0
1786722498033 0 0 0 0 0 0
1786722499076 0 0 0 0 0 0
1786722500114 0 0 0 0 0 0
1786722501155 14167 1113 9834 153 2 1
1786722502202 42178 1492 31281 431 2 1
1786722503234 65311 2378 41159 685 2 1
1786722504276 88876 3337 51682 929 2 1
1786722505312 120620 3941 57916 1282 2 1
1786722506347 158886 6006 64290 1765 2 1
1786722507381 186426 6590 86456 1985 2 1
1786722508413 223642 6760 105525 2355 738 1
1786722509458 283093 6814 120070 2755 2416 1
1786722510494 339135 7448 133662 3195 3813 1
1786722511535 392169 7877 147214 3944 5116 1
1786722512579 418679 8703 153166 4825 6121 1
1786722513622 425330 9441 154409 5005 7089 1
1786722514658 449848 11540 154542 5242 7656 1
1786722515691 476482 11662 157194 6089 13727 1
1786722516729 494665 11798 163851 6603 15117 1
1786722517763 531072 11851 174145 8402 16112 1
1786722518796 595442 12181 178908 10507 16593 1
1786722519830 644508 12264 186757 12313 17466 1
1786722520870 688110 14294 190263 14219 19122 1
1786722521904 714029 14300 190341 15257 20965 1
1786722522939 718458 14300 190341 15452 21558 1
1786722523973 733988 14306 190351 16134 23844 1
1786722525014 757542 14438 190449 16914 25370 1
1786722526053 788257 16788 190545 17469 25655 1
1786722527097 806705 18086 190559 17678 25722 1
1786722528147 806848 18086 190559 17681 25793 1
1786722529190 830947 38727 190589 17876 26392 1
1786722530229 852030 57003 190589 18014 26584 1
1786722531272 873956 76532 190589 18139 26656 1
1786722532322 892279 92068 190589 18324 26875 1
1786722533363 921876 101821 190781 18744 28635 1
1786722534414 942691 119750 190789 18914 28931 1
1786722535459 962496 131505 190789 19365 30017 1
1786722536506 976184 131511 190789 20043 31936 1
1786722537548 994324 131511 190789 20841 34335 1
1786722538600 1012320 131517 190789 21603 36716 1
1786722539637 1030184 131517 190789 22422 38210 1
1786722540664 1047450 131523 190789 23065 40513 1
1786722541705 1064667 143565 190927 23524 41171 1
1786722542737 1102330 162954 190957 24345 42766 1
1786722543771 1123662 181310 190957 24515 42980 1
1786722544815 1144672 199457 190957 24688 43262 1
1786722545857 1165548 217667 190957 24855 43443 1
1786722546882 1209604 220821 190957 25290 43559 1
1786722547916 1232320 232656 190957 25594 43930 1
1786722548947 1245941 236874 191026 25885 45839 1
1786722549982 1250103 236874 191026 25888 47922 1
1786722551022 1260263 237299 191026 26286 49473 1
1786722552055 1262378 237742 191084 26325 49586 1
1786722553093 1262978 237941 191084 26339 49685 1
1786722554137 1264553 238173 191084 26372 49885 1
1786722555173 1265293 238416 191084 26402 49992 1
1786722556220 1270411 238768 191084 26506 51172 1
1786722557259 1279725 239254 191084 26867 53151 1
1786722558312 1288182 239320 191084 27086 55172 1
1786722559350 1290260 239379 191084 27120 56092 1
1786722560395 1290987 239528 191084 27144 56279 1
1786722561425 1291585 239584 191084 27243 56353 1
1786722562455 1292082 239633 191084 27346 56401 1
1786722563494 1294216 239692 191084 27519 56956 1
1786722564526 1302566 239745 191084 27881 58653 1
1786722565558 1314778 243891 191084 28178 60017 1
1786722566590 1315015 243941 191084 28189 60065 1
1786722567630 1315081 243942 191084 28190 60085 1
1786722568669 1329098 256027 191084 28322 60178 1
1786722569707 1349631 273046 191092 28502 60821 1
1786722570758 1365201 275366 191092 29197 62749 1
1786722571791 1381843 275366 191092 29922 64958 1
1786722572822 1396398 275372 191092 30587 66978 1
1786722573860 1413771 275372 191092 31286 69260 1
1786722574901 1431510 275379 191092 32024 71636 1
1786722575936 1449304 275379 191092 32785 73998 1
1786722576974 1466647 275385 191092 33495 76339 1
1786722578008 1484367 275385 191092 34171 78716 1
1786722579039 1502048 275391 191092 34959 80976 1
1786722580077 1519781 275391 191092 35693 83292 1
1786722581106 1537281 275398 191092 36436 85587 1
1786722582141 1549068 275398 191092 37259 86781 1
1786722583172 1586246 277423 202064 38964 88049 1
1786722584203 1606257 277423 206496 39689 90669 1
1786722585243 0 0 0 0 0 0
1786722586272 0 0 0 0 0 0
1786722587301 0 0 0 0 0 0
# end=2026-08-14T15:49:47+00:00
