# w315 vmexit sampler tag=w315full start=2026-08-14T15:38:47+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786721927161 0 0 0 0 0 0
1786721928212 0 0 0 0 0 0
1786721929259 0 0 0 0 0 0
1786721930303 0 0 0 0 0 0
1786721931358 0 0 0 0 0 0
1786721932412 0 0 0 0 0 0
1786721933447 0 0 0 0 0 0
1786721934487 0 0 0 0 0 0
1786721935529 0 0 0 0 0 0
1786721936565 0 0 0 0 0 0
1786721937602 0 0 0 0 0 0
1786721938654 0 0 0 0 0 0
1786721939698 0 0 0 0 0 0
1786721940753 13711 1109 9385 150 2 1
1786721941804 42077 1490 31196 400 2 1
1786721942848 65841 2377 41716 663 2 1
1786721943893 89518 3257 53549 916 2 1
1786721944941 117706 3937 62941 1235 2 1
1786721945988 158173 5961 65458 1746 2 1
1786721947035 186534 6084 88891 1944 2 1
1786721948091 218764 6739 108045 2359 1012 1
1786721949143 275180 6810 122425 2867 2929 1
1786721950186 337901 7467 135069 3380 4849 1
1786721951232 392912 7907 149907 4097 5610 1
1786721952273 423658 8649 157446 4909 7170 1
1786721953328 432914 9495 159423 5193 8304 1
1786721954379 445425 9564 159452 5307 8471 1
1786721955420 476536 11708 161201 6025 14168 1
1786721956472 493911 11817 164143 6704 16373 1
1786721957513 519360 11895 176602 7533 17477 1
1786721958564 583568 12231 181081 9535 18486 1
1786721959606 635394 12246 191444 11193 19532 1
1786721960652 674000 12314 194531 12642 21200 1
1786721961700 689730 14346 194950 13061 22190 1
1786721962770 692756 14352 194961 13264 22740 1
1786721963800 707568 14352 194961 13881 24325 1
1786721964849 717755 14358 194961 14384 25798 1
1786721965895 730905 14373 195041 15154 28093 1
1786721966948 765171 14496 195069 15786 29180 1
1786721967996 801943 16846 195165 16385 29405 1
1786721969041 810570 18156 195179 16487 29623 1
1786721970087 816651 22631 195179 16572 30101 1
1786721971127 841445 44436 195209 16744 30343 1
1786721972175 863332 63608 195209 16901 30512 1
1786721973223 885274 83031 195209 17063 30601 1
1786721974268 910761 99653 195401 17318 30862 1
1786721975312 940222 112531 195401 17707 32535 1
1786721976360 963265 131575 195409 17990 33131 1
1786721977422 978559 131575 195409 18701 35331 1
1786721978479 992434 131582 195409 19463 37265 1
1786721979523 1007047 131582 195409 20296 39336 1
1786721980572 1022243 131588 195409 21092 41273 1
1786721981620 1040060 131588 195409 21848 42732 1
1786721982668 1056409 131595 195409 22688 44781 1
1786721983720 1071516 131718 195437 23435 46808 1
1786721984776 1092961 149029 195547 23911 47250 1
1786721985826 1129413 167375 195577 24742 48778 1
1786721986873 1151328 186791 195577 24881 48871 1
1786721987920 1172305 205043 195577 25020 49066 1
1786721988972 1196374 219161 195646 25275 49351 1
1786721990026 1237377 223762 195646 25664 49468 1
1786721991069 1262766 234996 195646 26074 50157 1
1786721992111 1270213 236870 195646 26229 52081 1
1786721993157 1274797 236876 195646 26644 54178 1
1786721994209 1286523 237648 195646 26958 55912 1
1786721995262 1287317 237823 195646 26988 56133 1
1786721996312 1289014 238085 195704 27033 56334 1
1786721997353 1289595 238280 195704 27050 56419 1
1786721998384 1292483 238659 195704 27093 56528 1
1786721999439 1301552 239234 195704 27595 58133 1
1786722000490 1310306 239287 195704 27965 60192 1
1786722001538 1311088 239354 195704 27999 60433 1
1786722002588 1311639 239547 195704 28030 60510 1
1786722003634 1312406 239600 195704 28154 60637 1
1786722004680 1313017 239663 195704 28270 60698 1
1786722005728 1325569 239716 195706 28953 62372 1
1786722006774 1325938 239779 195706 28994 62425 1
1786722007818 1332247 242954 195706 29160 63477 1
1786722008864 1334485 242954 195706 29253 64541 1
1786722009905 1346696 252722 195706 29426 65035 1
1786722010961 1374441 272596 195714 29893 65782 1
1786722012019 1384014 274378 195714 30372 66877 1
1786722013075 1384175 274378 195714 30379 66922 1
1786722014131 1384324 274384 195714 30389 66963 1
1786722015181 1384405 274384 195714 30392 66987 1
1786722016233 1384596 274390 195714 30399 67044 1
1786722017279 1396735 274390 195714 30997 68673 1
1786722018316 1411031 274397 195714 31782 70802 1
1786722019364 1424815 274397 195714 32670 72754 1
1786722020413 1438341 274403 195714 33528 74635 1
1786722021452 1454075 274403 195714 34360 76848 1
1786722022501 1468898 274409 195714 35281 78954 1
1786722023556 1483039 274409 195714 36271 80993 1
1786722024601 1498459 274416 195714 37134 83199 1
1786722025630 1512633 274422 195714 37935 85273 1
1786722026680 1529659 274422 195714 38648 87562 1
1786722027730 1544233 274428 195714 39517 89685 1
1786722028766 1558433 274428 195714 40379 91706 1
1786722029824 1572050 274435 195714 41154 93648 1
1786722030882 1586930 274435 195714 42139 95849 1
1786722031913 1602603 274441 197147 43155 97860 1
1786722032937 1644330 276457 206889 44367 100521 1
1786722033990 1658565 276506 210157 45286 102764 1
1786722035044 0 0 0 0 0 0
1786722036096 0 0 0 0 0 0
1786722037146 0 0 0 0 0 0
# end=2026-08-14T15:40:37+00:00
