# w315 vmexit sampler tag=w315hot start=2026-08-14T16:01:52+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786723312171 0 0 0 0 0 0
1786723313211 0 0 0 0 0 0
1786723314249 0 0 0 0 0 0
1786723315279 0 0 0 0 0 0
1786723316329 0 0 0 0 0 0
1786723317365 0 0 0 0 0 0
1786723318403 0 0 0 0 0 0
1786723319450 0 0 0 0 0 0
1786723320489 0 0 0 0 0 0
1786723321523 0 0 0 0 0 0
1786723322552 0 0 0 0 0 0
1786723323584 0 0 0 0 0 0
1786723324616 0 0 0 0 0 0
1786723325653 0 0 0 0 0 0
1786723326694 0 0 0 0 0 0
1786723327730 0 0 0 0 0 0
1786723328759 0 0 0 0 0 0
1786723329795 0 0 0 0 0 0
1786723330826 0 0 0 0 0 0
1786723331865 0 0 0 0 0 0
1786723332900 0 0 0 0 0 0
1786723333934 22992 1103 18489 235 2 1
1786723334966 50358 1637 36831 560 2 1
1786723335997 74867 2333 51005 843 2 1
1786723337026 99808 3105 65913 1106 2 1
1786723338065 124840 3877 78602 1378 2 1
1786723339105 163848 4584 79404 1938 2 1
1786723340138 198134 6045 101795 2137 2 1
1786723341196 229064 6706 120717 2548 670 1
1786723342224 279251 6809 136355 2986 2609 1
1786723343257 346671 6809 148603 3416 4563 1
1786723344287 397305 7878 162025 4086 5488 1
1786723345317 430107 7981 172701 4650 6900 1
1786723346365 449418 9428 175905 5378 8041 1
1786723347397 450793 9507 175905 5414 8285 1
1786723348430 484052 11628 177226 6080 10969 1
1786723349460 509936 11816 178631 6762 15697 1
1786723350497 543090 11907 193523 7876 16673 1
1786723351534 583891 12144 199907 10174 17533 1
1786723352570 642086 12241 207169 11654 18811 1
1786723353600 697711 12307 210949 13848 19482 1
1786723354644 728118 14338 212330 15253 21336 1
1786723355672 742484 14344 212408 15972 22482 1
1786723356705 753113 14344 212408 16397 23818 1
1786723357746 767025 14359 212488 17122 26166 1
1786723358782 801935 14482 212516 17643 27000 1
1786723359813 833231 16832 212612 18217 27231 1
1786723360848 835599 18142 212626 18251 27397 1
1786723361887 849814 25915 212626 21002 28349 1
1786723362923 877997 50796 212656 21225 28684 1
1786723363965 907308 77603 212656 21443 28754 1
1786723364995 935111 99633 212848 21711 28983 1
1786723366027 966355 114508 212848 22126 30676 1
1786723367064 992448 131559 212856 22558 31901 1
1786723368097 1006112 131565 212856 23200 33908 1
1786723369138 1024220 131565 212856 23940 36217 1
1786723370170 1041521 131571 212856 24616 38395 1
1786723371201 1055991 131571 212856 25361 39810 1
1786723372246 1070790 131578 212856 26015 41956 1
1786723373286 1093394 138803 212994 26592 42817 1
1786723374321 1130729 161746 213024 27420 44139 1
1786723375354 1159746 183301 213024 27804 44664 1
1786723376386 1185941 206908 213024 28077 44834 1
1786723377426 1222423 219146 213024 28419 45022 1
1786723378468 1256547 225655 213024 28845 45178 1
1786723379498 1270487 237183 213024 29005 45402 1
1786723380527 1274748 237189 213024 29077 47396 1
1786723381565 1279247 237189 213025 29424 49456 1
1786723382613 1291568 237582 213093 32177 51391 1
1786723383650 1305406 237988 213093 35258 53211 1
1786723384678 1309681 238159 213093 37011 53982 1
1786723385709 1310917 238383 213093 37049 54252 1
1786723386742 1311772 238568 213151 37068 54364 1
1786723387773 1313509 238828 213151 37116 54485 1
1786723388803 1323171 239270 213151 37575 55380 1
1786723389846 1332950 239641 213151 37953 57060 1
1786723390878 1333346 239704 213151 37967 57157 1
1786723391918 1334885 239753 213151 39085 57235 1
1786723392949 1338503 239921 213151 40827 57346 1
1786723393984 1339583 239974 213151 40956 57470 1
1786723395025 1349202 240033 213151 47333 58019 1
1786723396064 1359043 240086 213151 47812 59575 1
1786723397098 1371325 240145 213151 52263 61415 1
1786723398127 1378799 244926 213151 52428 61900 1
1786723399157 1378876 244926 213151 52429 61932 1
1786723400193 1385698 250997 213151 52530 61973 1
1786723401232 1415150 276344 213159 52798 62637 1
1786723402275 1427374 276350 213159 53358 64228 1
1786723403319 1442483 276350 213159 54239 66371 1
1786723404366 1458830 276356 213159 55017 68507 1
1786723405410 1472250 276356 213159 55693 70489 1
1786723406452 1488757 276363 213159 56526 72679 1
1786723407491 1504219 276363 213159 57322 74951 1
1786723408536 1522095 276369 213159 58122 77267 1
1786723409580 1539566 276369 213159 58869 79616 1
1786723410626 1554514 276376 213159 59698 81730 1
1786723411669 1571484 276376 213159 60536 83976 1
1786723412708 1588729 276382 213159 61484 86267 1
1786723413745 1604458 276382 213159 62204 88490 1
1786723414779 1628158 276388 217782 63227 90211 1
1786723415812 1665178 278404 225709 64528 92066 1
1786723416844 1684108 278411 228742 65309 94532 1
1786723417874 0 0 0 0 0 0
1786723418914 0 0 0 0 0 0
# end=2026-08-14T16:03:39+00:00
