# w315 vmexit sampler tag=w315inject start=2026-08-14T15:40:38+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786722038765 0 0 0 0 0 0
1786722039818 0 0 0 0 0 0
1786722040865 0 0 0 0 0 0
1786722041908 0 0 0 0 0 0
1786722042950 0 0 0 0 0 0
1786722043993 0 0 0 0 0 0
1786722045040 0 0 0 0 0 0
1786722046085 0 0 0 0 0 0
1786722047140 0 0 0 0 0 0
1786722048186 0 0 0 0 0 0
1786722049232 0 0 0 0 0 0
1786722050282 0 0 0 0 0 0
1786722051334 3942 651 2555 48 2 1
1786722052386 35206 1210 28847 388 2 1
1786722053436 60849 2049 40796 670 2 1
1786722054492 85438 2980 53898 919 2 1
1786722055546 110990 3830 65863 1215 2 1
1786722056599 150822 3940 67534 1759 2 1
1786722057633 184952 6050 89425 2024 2 1
1786722058681 215105 6701 107475 2466 707 1
1786722059726 262571 6813 123653 2982 2484 1
1786722060774 332578 6813 136342 3533 4386 1
1786722061832 391480 7827 151348 4290 5327 1
1786722062878 423810 8038 161139 5103 6725 1
1786722063934 437439 9433 163868 5506 7907 1
1786722064992 442188 9458 163897 5589 8064 1
1786722066046 478584 11620 165346 6354 13494 1
1786722067096 500009 11742 166776 7345 15901 1
1786722068136 531519 11833 181720 8302 17128 1
1786722069186 590867 12146 185969 10306 18301 1
1786722070230 651211 12161 195905 12034 19145 1
1786722071293 686335 14260 198536 13358 21166 1
1786722072355 695814 14260 198657 13668 21650 1
1786722073399 709515 14266 198657 14592 23193 1
1786722074443 725919 14272 198657 15288 24653 1
1786722075490 729963 14272 198657 15583 25319 1
1786722076547 743227 14278 198667 16689 27376 1
1786722077598 761359 14287 198737 17766 29308 1
1786722078644 798614 16760 198861 18412 29691 1
1786722079696 818762 18070 198875 18668 29805 1
1786722080727 818943 18174 198875 18702 29879 1
1786722081769 847379 42913 198905 19106 30363 1
1786722082809 873923 66751 198905 19331 30545 1
1786722083861 901225 91413 198905 19529 30698 1
1786722084904 936515 102326 199097 20066 32490 1
1786722085955 967293 130265 199105 20283 32739 1
1786722087011 982603 131493 199105 21110 34787 1
1786722088071 996395 131493 199105 22013 36676 1
1786722089127 1010868 131500 199105 22882 38644 1
1786722090183 1024977 131500 199105 23796 40746 1
1786722091232 1039986 131506 199105 24660 42530 1
1786722092290 1054631 131506 199105 25503 44597 1
1786722093336 1068223 131730 199229 26344 46229 1
1786722094390 1101079 155920 199273 27009 47075 1
1786722095441 1140001 180975 199273 27765 48296 1
1786722096494 1166362 204631 199273 27973 48467 1
1786722097549 1198356 219080 199273 28278 48646 1
1786722098595 1240282 225836 199273 28644 48843 1
1786722099644 1254169 236821 199273 28809 49092 1
1786722100686 1256580 236830 199273 28898 50115 1
1786722101728 1266193 236879 199331 29316 52095 1
1786722102783 1275827 237230 199331 29741 53992 1
1786722103837 1277937 237629 199331 29839 54300 1
1786722104899 1278375 237698 199331 29869 54392 1
1786722105954 1278711 237773 199331 29890 54457 1
1786722107009 1279277 237842 199331 29915 54618 1
1786722108060 1281780 238021 199331 30097 55262 1
1786722109099 1294288 238086 199331 30746 57081 1
1786722110149 1298219 238161 199331 30969 57938 1
1786722111199 1298718 238230 199331 30995 58075 1
1786722112265 1299091 238305 199331 31012 58154 1
1786722113322 1299746 238434 199331 31074 58246 1
1786722114368 1302087 238691 199331 31201 58455 1
1786722115420 1312619 238860 199331 31942 60374 1
1786722116468 1319520 239247 199331 32190 61112 1
1786722117516 1319811 239288 199331 32212 61170 1
1786722118566 1320487 239335 199331 32234 61423 1
1786722119617 1320799 239386 199331 32259 61488 1
1786722120664 1321742 239532 199331 32312 61630 1
1786722121712 1333461 239583 199331 33009 63536 1
1786722122777 1337823 239624 199331 33223 64307 1
1786722123825 1338339 239667 199331 33320 64373 1
1786722124879 1338754 239708 199331 33389 64427 1
1786722125933 1339217 239755 199331 33462 64491 1
1786722126975 1340655 239967 199331 33587 64873 1
1786722128014 1352830 243084 199331 34058 66991 1
1786722129047 1357102 243084 199331 34141 69057 1
1786722130095 1387480 264898 199339 34655 70241 1
1786722131154 1398824 274501 199339 34847 70488 1
1786722132214 1399011 274507 199339 34867 70539 1
1786722133278 1399281 274507 199339 34880 70625 1
1786722134335 1399475 274513 199339 34891 70679 1
1786722135383 1408126 274513 199339 35663 71480 1
1786722136428 1422462 274519 199339 36513 73557 1
1786722137474 1437725 274525 199339 37532 75631 1
1786722138525 1452275 274525 199339 38422 77727 1
1786722139580 1463346 274531 199339 39175 79431 1
1786722140631 1479459 274531 199339 40032 81547 1
1786722141692 1494201 274537 199339 41702 83536 1
1786722142735 1508558 274537 199339 42709 85575 1
1786722143777 1522658 274543 199339 43614 87565 1
1786722144825 1536712 274543 199339 44547 89575 1
1786722145870 1550668 274549 199339 45476 91597 1
1786722146918 1564849 274549 199339 46305 93677 1
1786722147965 1578935 274555 199339 47187 95690 1
1786722149016 1592966 274555 199339 48013 97720 1
1786722150064 1606943 274561 199339 48743 99852 1
1786722151121 1620930 274561 199339 49498 101842 1
1786722152167 1660474 276584 209946 51184 103861 1
1786722153225 1681699 276584 212392 53610 106423 1
1786722154265 0 0 0 0 0 1
1786722155324 0 0 0 0 0 0
1786722156363 0 0 0 0 0 0
# end=2026-08-14T15:42:36+00:00
