# w315 vmexit sampler tag=w318boff start=2026-08-14T17:08:37+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786727317608 0 0 0 0 0 0
1786727318659 0 0 0 0 0 0
1786727319709 0 0 0 0 0 0
1786727320766 0 0 0 0 0 0
1786727321817 0 0 0 0 0 0
1786727322864 0 0 0 0 0 0
1786727323918 0 0 0 0 0 0
1786727324965 0 0 0 0 0 0
1786727326017 0 0 0 0 0 0
1786727327071 0 0 0 0 0 0
1786727328111 0 0 0 0 0 0
1786727329160 0 0 0 0 0 0
1786727330209 0 0 0 0 0 0
1786727331264 0 0 0 0 0 0
1786727332318 0 0 0 0 0 0
1786727333371 0 0 0 0 0 0
1786727334422 0 0 0 0 0 0
1786727335473 26191 1112 21733 296 2 1
1786727336526 52664 1847 35988 576 2 1
1786727337570 76200 2822 46628 814 2 1
1786727338611 99851 3758 56018 1051 2 1
1786727339662 138458 3940 57705 1617 2 1
1786727340710 173694 6035 78892 1908 2 1
1786727341771 206691 6714 99243 2303 388 1
1786727342813 257821 6813 115281 2708 1705 1
1786727343861 324138 6813 127417 3173 3631 1
1786727344909 380985 7850 141679 3951 4522 1
1786727345949 408024 7946 150985 4672 5913 1
1786727347001 426198 9463 154189 5232 7194 1
1786727348055 431121 9489 154218 5295 7301 1
1786727349109 467797 11672 155664 6100 12800 1
1786727350164 485971 11784 159047 6791 15087 1
1786727351202 514683 11862 171887 7831 16202 1
1786727352235 576117 12171 175676 9647 17450 1
1786727353281 634135 12189 186039 11522 18683 1
1786727354311 673573 12256 189737 13123 20328 1
1786727355346 707839 14288 190180 15370 21900 1
1786727356394 714479 14294 190304 15776 22712 1
1786727357455 727864 14294 190304 16517 24571 1
1786727358508 744863 14309 190384 17443 26487 1
1786727359559 778529 14432 190412 18098 27669 1
1786727360607 814343 18092 190522 18651 27901 1
1786727361656 814468 18092 190522 18663 27956 1
1786727362717 827290 19153 190522 26860 29226 1
1786727363778 853595 22373 190522 48289 29358 1
1786727364829 879505 40759 190552 52224 29669 1
1786727365882 901594 59428 190552 52401 29869 1
1786727366935 924953 80226 190552 52562 29943 1
1786727367993 947541 99589 190552 52808 30144 1
1786727369037 983974 106515 190744 53385 31943 1
1786727370083 1008013 127459 190752 53609 32262 1
1786727371130 1031120 131518 190752 54397 33964 1
1786727372185 1046206 131518 190752 55429 35969 1
1786727373230 1061629 131524 190752 56555 38068 1
1786727374273 1076625 131524 190752 57776 40120 1
1786727375315 1094187 131530 190752 59012 41674 1
1786727376367 1109173 131530 190752 60637 43636 1
1786727377413 1133765 131659 190780 62146 45464 1
1786727378466 1167968 144909 190890 63003 46022 1
1786727379510 1206339 166185 190920 64025 47364 1
1786727380561 1228006 185022 190920 64274 47593 1
1786727381610 1251065 205114 190920 64549 47815 1
1786727382664 1275987 219105 190989 64999 48109 1
1786727383714 1322064 222083 190989 65590 48211 1
1786727384754 1344934 235400 190989 66655 49024 1
1786727385799 1351858 236814 191047 66996 51039 1
1786727386843 1359775 236873 191047 67491 53072 1
1786727387887 1364384 237599 191047 67662 53418 1
1786727388943 1365197 237822 191047 67730 53539 1
1786727389988 1366918 238078 191047 67805 53745 1
1786727391035 1368388 238389 191047 67860 53883 1
1786727392077 1371831 239044 191047 67989 54134 1
1786727393124 1388685 239107 191047 75822 55694 1
1786727394175 1397244 239164 191047 76166 57795 1
1786727395219 1400849 239241 191047 76384 59196 1
1786727396264 1402365 239422 191047 77208 59270 1
1786727397306 1402991 239485 191047 77334 59329 1
1786727398351 1404469 239538 191047 77814 59384 1
1786727399402 1406564 239597 191047 78846 59668 1
1786727400453 1418768 243127 191047 79299 60884 1
1786727401504 1418825 243128 191047 79300 60901 1
1786727402543 1418928 243128 191047 79308 60931 1
1786727403589 1444334 260310 191057 79776 61542 1
1786727404638 1461099 274545 191057 79935 61908 1
1786727405681 1461308 274551 191057 79949 61966 1
1786727406729 1461485 274557 191057 79960 62019 1
1786727407778 1461586 274557 191057 79960 62051 1
1786727408838 1474879 274563 191057 80875 63941 1
1786727409890 1489382 274563 191057 82022 66004 1
1786727410942 1503749 274569 191057 83112 67983 1
1786727411989 1516870 274569 191057 83884 69808 1
1786727413042 1531241 274575 191057 85001 71848 1
1786727414095 1545595 274575 191057 85923 73906 1
1786727415140 1560091 274581 191057 87011 75963 1
1786727416197 1575651 274581 191057 87871 77261 1
1786727417258 1589620 274587 191057 88721 79325 1
1786727418313 1603895 274587 191057 89837 81314 1
1786727419367 1618118 274593 191057 90695 83390 1
1786727420428 1632687 274593 191057 91721 85491 1
1786727421487 1648014 274600 191057 92596 87550 1
1786727422539 1664207 274600 191057 93626 89771 1
1786727423590 1678548 274606 191057 94588 91708 1
1786727424643 1689948 274606 191057 95353 93416 1
1786727425692 1731486 276629 201758 96764 95277 1
1786727426741 1752793 276629 203699 97817 97925 1
1786727427793 0 0 0 0 0 0
1786727428856 0 0 0 0 0 0
1786727429902 0 0 0 0 0 0
1786727430947 0 0 0 0 0 0
# end=2026-08-14T17:10:31+00:00
