# w315 vmexit sampler tag=w318bon start=2026-08-14T17:10:32+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786727432564 0 0 0 0 0 0
1786727433614 0 0 0 0 0 0
1786727434651 0 0 0 0 0 0
1786727435701 0 0 0 0 0 0
1786727436755 0 0 0 0 0 0
1786727437788 0 0 0 0 0 0
1786727438835 0 0 0 0 0 0
1786727439887 0 0 0 0 0 0
1786727440938 0 0 0 0 0 0
1786727441991 0 0 0 0 0 0
1786727443043 0 0 0 0 0 0
1786727444090 0 0 0 0 0 0
1786727445137 0 0 0 0 0 0
1786727446188 0 0 0 0 0 0
1786727447228 0 0 0 0 0 0
1786727448272 0 0 0 0 0 0
1786727449314 0 0 0 0 0 0
1786727450363 18133 1114 13726 206 2 1
1786727451418 47162 1615 34263 521 2 1
1786727452472 72211 2525 46305 762 2 1
1786727453519 97139 3432 58310 1020 2 1
1786727454572 130895 3942 65280 1415 2 1
1786727455625 169388 6007 74763 1885 2 1
1786727456667 200427 6635 97776 2181 91 1
1786727457711 238521 6790 116174 2658 1718 1
1786727458770 302271 6815 129209 3109 3595 1
1786727459831 362741 7486 144289 3710 4862 1
1786727460882 410813 7915 158090 4396 6289 1
1786727461944 431335 9146 161675 5207 7237 1
1786727462997 434788 9433 161767 5390 7861 1
1786727464056 462615 11548 162849 5975 9034 1
1786727465108 488356 11654 164471 6877 14572 1
1786727466165 503378 11775 169203 7702 15931 1
1786727467209 541347 11834 181596 9081 17494 1
1786727468242 605378 12187 186757 11107 18401 1
1786727469281 665642 12254 195845 12775 18973 1
1786727470324 705749 14284 198052 14203 21057 1
1786727471383 713438 14291 198130 14747 22169 1
1786727472434 728072 14291 198140 15858 24227 1
1786727473486 750499 14306 198210 16725 25946 1
1786727474527 786130 16773 198334 17358 26195 1
1786727475585 808610 18089 198348 17661 26381 1
1786727476644 808741 18089 198348 17685 26419 1
1786727477692 831568 37755 198378 17950 26803 1
1786727478745 853726 57146 198378 18160 26990 1
1786727479798 876282 77033 198378 18379 27138 1
1786727480847 897602 95602 198378 18635 27299 1
1786727481898 927039 104723 198570 19425 29071 1
1786727482954 951291 125976 198578 19764 29331 1
1786727484007 969182 131509 198578 20924 30758 1
1786727485065 983737 131509 198578 22516 32655 1
1786727486122 998766 131515 198578 24243 34585 1
1786727487189 1013888 131515 198578 26044 36600 1
1786727488251 1029173 131521 198578 28000 38740 1
1786727489303 1045321 131521 198578 29488 40359 1
1786727490353 1060297 131527 198578 31281 42381 1
1786727491408 1076479 131650 198606 33014 44198 1
1786727492460 1102056 152399 198716 33731 44633 1
1786727493516 1139410 171533 198746 35418 46076 1
1786727494572 1162085 191092 198746 36174 46184 1
1786727495628 1182081 207815 198746 36811 46453 1
1786727496679 1211895 219101 198746 37570 46654 1
1786727497727 1251852 224073 198815 38390 46811 1
1786727498766 1273789 236937 198815 39017 47588 1
1786727499807 1278218 236946 198815 39077 49698 1
1786727500853 1288314 237382 198873 39267 51714 1
1786727501887 1293269 238114 198873 39338 52607 1
1786727502939 1297162 238886 198873 39419 52820 1
1786727503996 1301958 240922 198873 39876 53146 1
1786727505048 1306379 244024 198873 39953 53399 1
1786727506092 1306497 244025 198873 39954 53436 1
1786727507138 1323675 252884 198873 40430 54223 1
1786727508186 1353412 275301 198881 40789 55092 1
1786727509242 1354165 275448 198881 40817 55252 1
1786727510296 1354258 275448 198881 40818 55282 1
1786727511344 1354438 275454 198881 40824 55335 1
1786727512385 1354843 275454 198881 40866 55437 1
1786727513445 1368537 275460 198881 41633 57425 1
1786727514502 1383058 275460 198881 42480 59565 1
1786727515545 1398587 275466 198881 43416 61637 1
1786727516602 1410018 275466 198881 44133 63407 1
1786727517655 1424137 275473 198881 44963 65462 1
1786727518714 1438238 275473 198881 45803 67528 1
1786727519769 1454066 275479 198881 46645 69693 1
1786727520823 1469449 275479 198881 47481 71765 1
1786727521881 1483578 275485 198881 48251 73769 1
1786727522937 1498156 275491 198881 49025 75900 1
1786727523987 1512311 275491 198881 49796 77955 1
1786727525028 1526363 275497 198881 50592 79947 1
1786727526090 1540253 275497 198881 51405 81954 1
1786727527148 1555292 275504 198881 52234 84079 1
1786727528198 1568853 275504 198881 52987 86028 1
1786727529235 1607520 277528 208921 54326 87995 1
1786727530273 1629791 277528 214538 55210 90328 1
1786727531324 0 0 0 0 0 0
1786727532379 0 0 0 0 0 0
1786727533422 0 0 0 0 0 0
# end=2026-08-14T17:12:14+00:00
