# w315 vmexit sampler tag=w318off start=2026-08-14T16:42:33+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786725753852 0 0 0 0 0 0
1786725754906 0 0 0 0 0 0
1786725755939 0 0 0 0 0 0
1786725756980 0 0 0 0 0 0
1786725758031 0 0 0 0 0 0
1786725759073 0 0 0 0 0 0
1786725760116 0 0 0 0 0 0
1786725761163 0 0 0 0 0 0
1786725762203 0 0 0 0 0 0
1786725763244 0 0 0 0 0 0
1786725764284 0 0 0 0 0 0
1786725765322 0 0 0 0 0 0
1786725766372 0 0 0 0 0 0
1786725767416 0 0 0 0 0 0
1786725768465 0 0 0 0 0 0
1786725769520 0 0 0 0 0 0
1786725770570 0 0 0 0 0 0
1786725771623 12584 1081 8769 115 2 1
1786725772670 42863 1412 33374 410 2 1
1786725773718 69664 2055 49491 704 2 1
1786725774767 94173 2811 64561 966 2 1
1786725775815 119367 3585 78042 1243 2 1
1786725776860 154346 3941 85976 1723 2 1
1786725777907 192560 6006 97683 2125 2 1
1786725778948 220879 6631 118121 2429 66 1
1786725779997 258490 6793 137237 2906 927 1
1786725781034 323479 6814 150150 3381 2831 1
1786725782075 379878 7506 164173 4018 4075 1
1786725783122 430168 7945 178576 5491 5545 1
1786725784173 451069 8911 181582 6716 6620 1
1786725785237 457049 9471 182466 7231 7392 1
1786725786287 483029 11576 182917 7741 8025 1
1786725787345 504447 11685 184347 8844 13560 1
1786725788394 519253 11787 186228 9861 15415 1
1786725789448 546797 11873 199383 11066 16377 1
1786725790490 611655 12217 204726 13417 17710 1
1786725791524 669649 12232 214430 15827 18531 1
1786725792567 715162 13984 217929 18270 20314 1
1786725793602 741478 14331 218124 19647 22183 1
1786725794639 751832 14337 218225 23750 22874 1
1786725795684 763740 14337 218225 24473 24552 1
1786725796732 778628 14343 218235 25219 26467 1
1786725797774 802167 14482 218333 25976 28176 1
1786725798818 836191 16826 218429 26609 28337 1
1786725799858 868948 18132 218443 34021 28497 1
1786725800914 872910 18132 218443 35757 29484 1
1786725801965 897734 23458 218443 50865 30214 1
1786725803014 921943 44842 218473 51037 30359 1
1786725804066 944626 64686 218473 51203 30552 1
1786725805119 967814 84997 218473 51401 30758 1
1786725806174 992687 99629 218665 51677 31031 1
1786725807227 1023896 108703 218665 52097 32734 1
1786725808278 1047196 128408 218673 52273 33269 1
1786725809322 1065029 131551 218673 52857 34803 1
1786725810373 1078933 131557 218673 53604 36770 1
1786725811430 1093773 131557 218673 54375 38757 1
1786725812485 1109108 131563 218673 55197 40805 1
1786725813521 1123823 131563 218673 55857 42552 1
1786725814582 1136818 131569 218673 56601 44106 1
1786725815632 1151095 131569 218673 57475 46091 1
1786725816685 1183157 131698 218701 58205 47142 1
1786725817724 1216451 148190 218811 59021 48240 1
1786725818768 1249107 168588 218841 59673 49189 1
1786725819817 1270992 187852 218841 59850 49346 1
1786725820862 1292550 206442 218908 60041 49520 1
1786725821908 1314582 219145 218908 60255 49753 1
1786725822962 1363358 222201 218908 60806 49983 1
1786725824000 1387908 234170 218966 61516 51103 1
1786725825048 1394921 236997 218966 61741 51807 1
1786725826098 1396799 237022 218966 61898 52364 1
1786725827147 1400574 237718 218966 61987 52526 1
1786725828196 1401296 237937 218966 62021 52662 1
1786725829241 1403450 238173 218966 62192 53005 1
1786725830296 1417313 238380 218966 63103 54806 1
1786725831339 1420192 238775 218966 63182 55185 1
1786725832394 1421631 239262 218966 63248 55458 1
1786725833447 1422502 239315 218966 63780 55522 1
1786725834499 1422882 239382 218966 63804 55603 1
1786725835534 1430503 239569 218966 64657 56279 1
1786725836574 1438293 239632 218966 65166 57759 1
1786725837616 1445370 239681 218966 67688 58289 1
1786725838667 1445992 239760 218966 67785 58360 1
1786725839718 1451334 242953 218966 67949 58901 1
1786725840760 1469735 242953 218966 83475 60067 1
1786725841789 1473597 242953 218966 83691 61619 1
1786725842815 1499309 255351 218966 84336 63109 1
1786725843869 1521749 274371 218974 84560 63638 1
1786725844928 1521901 274377 218974 84568 63679 1
1786725845989 1522006 274377 218974 84573 63711 1
1786725847047 1522363 274383 218974 84604 63815 1
1786725848095 1526108 274383 218974 84831 64378 1
1786725849157 1541830 274389 218974 85703 66527 1
1786725850213 1556635 274389 218974 86929 68568 1
1786725851267 1570125 274396 218974 87739 70504 1
1786725852327 1582350 274396 218974 88513 72231 1
1786725853379 1596993 274402 218974 89724 74245 1
1786725854426 1614551 274408 218974 90609 75599 1
1786725855485 1628661 274408 218974 91425 77633 1
1786725856540 1642831 274414 218974 92391 79707 1
1786725857598 1657138 274414 218974 93307 81820 1
1786725858649 1671536 274420 218974 94342 83806 1
1786725859692 1687384 274420 218974 95201 85943 1
1786725860745 1703152 274426 218974 96315 88083 1
1786725861799 1717802 274426 218974 97433 90094 1
1786725862860 1731877 274432 218974 98240 92165 1
1786725863917 1746523 274432 218974 99173 94260 1
1786725864955 1772367 274950 223805 100473 95749 1
1786725866005 1803045 276457 230060 101701 97937 1
1786725867058 1817707 276463 230060 102626 100093 1
1786725868090 1831495 276506 233156 103284 101930 1
1786725869145 0 0 0 0 0 0
1786725870193 0 0 0 0 0 0
# end=2026-08-14T16:44:30+00:00
