# w315 vmexit sampler tag=w318on start=2026-08-14T16:44:32+00:00
# epoch_ms exits mmio_exits io_exits irq_exits halt_exits qemu_running
1786725872525 0 0 0 0 0 0
1786725873577 0 0 0 0 0 0
1786725874625 0 0 0 0 0 0
1786725875674 0 0 0 0 0 0
1786725876734 0 0 0 0 0 0
1786725877792 0 0 0 0 0 0
1786725878833 0 0 0 0 0 0
1786725879881 0 0 0 0 0 0
1786725880923 0 0 0 0 0 0
1786725881979 0 0 0 0 0 0
1786725883031 0 0 0 0 0 0
1786725884076 0 0 0 0 0 0
1786725885120 0 0 0 0 0 0
1786725886168 0 0 0 0 0 0
1786725887224 0 0 0 0 0 0
1786725888272 0 0 0 0 0 0
1786725889319 0 0 0 0 0 0
1786725890369 0 0 0 0 0 0
1786725891415 11055 1099 6878 98 2 1
1786725892465 40426 1464 30032 383 2 1
1786725893512 64673 2396 40398 628 2 1
1786725894565 88601 3373 50916 849 2 1
1786725895610 120616 3940 57355 1179 2 1
1786725896660 159749 6005 65380 1644 2 1
1786725897708 190620 6624 88927 1943 43 1
1786725898753 224967 6766 106108 2449 825 1
1786725899802 282673 6813 119448 3004 2536 1
1786725900851 339085 7463 132747 3493 4108 1
1786725901888 393501 7898 146996 4322 5467 1
1786725902938 419620 8896 152849 5195 6477 1
1786725903979 425045 9465 153848 5317 7218 1
1786725905029 452852 11580 154930 5775 8471 1
1786725906081 478270 11686 156616 6628 14168 1
1786725907122 508950 11865 170861 7625 15825 1
1786725908159 571939 12188 175559 9704 16807 1
1786725909197 626178 12214 185748 11636 17974 1
1786725910235 667172 12280 188474 13128 19737 1
1786725911270 696765 14312 189471 14505 21636 1
1786725912319 703991 14318 189595 15024 22598 1
1786725913364 718368 14318 189605 15908 24700 1
1786725914414 735438 14333 189695 16697 26553 1
1786725915465 775403 14456 189703 17368 26783 1
1786725916513 801332 18116 189813 17747 26910 1
1786725917541 801857 18116 189813 17759 27147 1
1786725918593 820512 33883 189813 17957 27696 1
1786725919648 842183 52771 189843 18141 27855 1
1786725920699 862496 70704 189843 18296 27951 1
1786725921744 884071 89456 189843 18480 28177 1
1786725922786 912618 99613 190035 19142 29621 1
1786725923816 934074 117344 190043 19394 30190 1
1786725924862 954281 131539 190043 19854 31250 1
1786725925918 970365 131539 190043 20718 33045 1
1786725926971 983119 131545 190043 21556 34928 1
1786725928014 996682 131545 190043 22481 36875 1
1786725929072 1011618 131552 190043 23353 38923 1
1786725930125 1026571 131552 190043 24175 40669 1
1786725931185 1041018 131558 190043 25022 42741 1
1786725932248 1055355 131565 190043 25953 44823 1
1786725933296 1074438 144852 190181 26473 45502 1
1786725934335 1111013 164635 190211 27278 46984 1
1786725935375 1133249 181540 190211 27506 47513 1
1786725936429 1152822 198548 190211 27694 47666 1
1786725937486 1173473 216543 190211 27894 47854 1
1786725938531 1219172 219165 190280 28418 48047 1
1786725939581 1243120 229811 190280 28732 48311 1
1786725940623 1264405 236868 190280 29402 50090 1
1786725941661 1268803 236879 190338 29570 52174 1
1786725942701 1274398 237290 190338 29968 53581 1
1786725943737 1278318 238214 190338 30056 53809 1
1786725944788 1283964 239131 190338 30202 54248 1
1786725945840 1297501 242881 190338 31067 55128 1
1786725946891 1303495 244088 190338 31255 55445 1
1786725947932 1303557 244088 190338 31258 55464 1
1786725948980 1315751 254392 190338 31417 55617 1
1786725950023 1339820 275175 190346 31785 55992 1
1786725951081 1340871 275512 190346 31822 56153 1
1786725952145 1340984 275512 190346 31830 56182 1
1786725953209 1341155 275518 190346 31848 56228 1
1786725954259 1351335 275518 190346 32671 57729 1
1786725955317 1365643 275524 190346 33786 59757 1
1786725956381 1379501 275524 190346 34891 61753 1
1786725957443 1392399 275530 190346 35774 63582 1
1786725958497 1407129 275530 190346 36902 65602 1
1786725959555 1421710 275536 190346 38151 67653 1
1786725960618 1436579 275536 190346 39465 69732 1
1786725961671 1451752 275542 190346 40873 71766 1
1786725962726 1465946 275542 190346 42216 73775 1
1786725963777 1480334 275548 190346 43490 75828 1
1786725964825 1495579 275554 190346 44790 77913 1
1786725965867 1511481 275554 190346 46350 79969 1
1786725966921 1526061 275560 190346 48020 81970 1
1786725967976 1541028 275560 190346 49696 84011 1
1786725969028 1556446 275566 190346 51441 86080 1
1786725970073 1568919 275566 190346 53073 87815 1
1786725971112 1605106 277588 200597 54950 89350 1
1786725972165 1632467 277588 205435 56138 92445 1
1786725973219 0 0 0 0 0 0
1786725974283 0 0 0 0 0 0
1786725975333 0 0 0 0 0 0
# end=2026-08-14T16:46:16+00:00
