# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786735026 0 3 none none
1786735031 0 4 none none
1786735035 0 4 none none
1786735040 0 4 243148 none
1786735045 0 4 258252 none
1786735050 0 3 326604 none
1786735055 0 4 602828 none
1786735060 0 4 702540 none
1786735063 0 4 861004 none
1786735064 0 0 861772 none
1786735065 0 0 862028 none
1786735066 5 0 862668 none
1786735067 5 0 950476 none
1786735068 5 0 950476 none
1786735070 5 0 950988 none
1786735071 5 0 950988 none
1786735072 5 0 952908 none
1786735073 5 0 964428 none
1786735074 5 0 989260 none
1786735075 5 0 989260 none
1786735076 5 0 992204 none
1786735077 5 0 992588 none
1786735078 5 0 992588 none
1786735080 5 0 992588 none
1786735081 5 0 1152460 none
1786735082 35 0 1187532 1696606,0;
1786735083 35 0 1194228 1696606,0;
1786735084 36 6 1196660 1696606,0;
1786735085 36 0 1207204 1696606,0;
1786735086 36 6 1226688 1696606,0;
1786735088 36 0 1340988 1696606,0;
1786735089 36 0 1340988 1696606,0;
1786735090 1 0 1340988 none
1786735091 1 0 1340988 none
1786735092 1 0 1340988 none
1786735093 1 0 1340988 none
1786735094 1 0 1340988 none
1786735095 1 0 1340988 none
1786735097 1 0 1340988 none
1786735098 1 0 1340988 none
1786735099 1 0 1340988 none
1786735100 1 0 1340988 none
1786735101 1 0 1340988 none
1786735102 1 0 1341116 none
1786735103 1 0 1341116 none
1786735105 1 0 1341116 none
1786735106 1 0 1341116 none
1786735107 1 0 1341116 none
1786735108 1 0 1341116 none
1786735109 1 0 1341116 none
1786735110 1 0 1341116 none
1786735111 1 0 1341116 none
1786735112 1 0 1341116 none
1786735114 1 0 1341372 none
1786735115 1 0 1341756 none
1786735120 0 4 none none
