# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786734547 0 4 none none
1786734552 0 4 none none
1786734554 0 3 none none
1786734559 0 4 none none
1786734564 0 4 61484 none
1786734569 0 3 257068 none
1786734574 0 4 302764 none
1786734579 0 4 372780 none
1786734584 0 3 660268 none
1786734589 0 3 870316 none
1786734590 0 0 871084 none
1786734591 0 0 871212 none
1786734592 5 0 872108 none
1786734593 5 0 923436 none
1786734594 5 0 923436 none
1786734595 5 0 923692 none
1786734597 5 0 923692 none
1786734598 5 0 923692 none
1786734599 5 0 923948 none
1786734600 5 0 956972 none
1786734601 5 0 956972 none
1786734602 5 0 959660 none
1786734603 5 0 960172 none
1786734604 5 0 960428 none
1786734605 5 0 960428 none
1786734607 5 0 1102636 none
1786734608 26 0 1164588 1689016,0;
1786734609 35 0 1175072 1689016,0;
1786734610 36 0 1175456 1689016,0;
1786734611 36 0 1194472 1689016,0;
1786734612 36 4 1214472 1689016,0;
1786734613 36 0 1326704 1689016,0;
1786734614 36 0 1326704 1689016,0;
1786734616 1 0 1326704 none
1786734617 1 0 1324412 none
1786734618 1 0 1324412 none
1786734619 1 0 1324412 none
1786734620 1 0 1324412 none
1786734621 1 0 1324412 none
1786734622 1 0 1324412 none
1786734624 1 0 1324412 none
1786734625 1 0 1324412 none
1786734626 1 0 1324412 none
1786734627 1 0 1324412 none
1786734628 1 0 1324412 none
1786734629 1 0 1324412 none
1786734630 1 0 1324412 none
1786734632 1 0 1324412 none
1786734633 1 0 1324412 none
1786734634 1 0 1324412 none
1786734635 1 0 1324412 none
1786734636 1 0 1324412 none
1786734637 1 0 1324412 none
1786734638 1 0 1324412 none
1786734639 1 0 1324412 none
1786734641 1 0 1324412 none
1786734642 1 0 1324412 none
1786734643 1 0 none none
