# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786735124 0 4 none none
1786735129 0 3 none none
1786735134 0 4 none none
1786735139 0 4 164048 none
1786735144 0 4 260432 none
1786735149 0 3 318416 none
1786735154 0 3 588752 none
1786735159 0 4 703952 none
1786735161 0 3 869840 none
1786735163 0 0 870864 none
1786735164 0 0 870992 none
1786735165 5 0 872272 none
1786735166 5 0 943440 none
1786735167 5 0 943440 none
1786735168 5 0 943440 none
1786735169 5 0 943440 none
1786735170 5 0 943440 none
1786735172 5 0 955472 none
1786735173 5 0 984912 none
1786735174 5 0 984912 none
1786735175 5 0 988752 none
1786735176 5 0 989136 none
1786735177 5 0 989136 none
1786735178 5 0 998736 none
1786735179 5 0 1175504 none
1786735180 35 0 1181832 1699963,0;
1786735182 35 0 1181832 1699963,0;
1786735183 36 0 1189932 1699963,0;
1786735184 36 6 1203476 1699963,0;
1786735185 36 5 1230408 1699963,0;
1786735186 36 0 1261792 1699963,0;
1786735187 36 0 1261792 1699963,0;
1786735188 36 0 1292768 1699963,0;
1786735190 36 0 1302320 1699963,0;
1786735191 36 0 1302320 1699963,0;
1786735192 36 0 1303088 1699963,0;
1786735193 36 0 1303600 1699963,0;
1786735194 36 0 1303600 1699963,0;
1786735195 36 0 1303600 1699963,0;
1786735196 36 0 1303600 1699963,0;
1786735198 36 0 1303856 1699963,0;
1786735199 36 0 1303856 1699963,0;
1786735200 36 0 1303856 1699963,0;
1786735201 36 0 1303856 1699963,0;
1786735202 36 0 1303856 1699963,0;
1786735203 36 0 1303856 1699963,0;
1786735205 36 0 1303984 1699963,0;
1786735206 36 0 1303984 1699963,0;
1786735207 36 0 1304112 1699963,0;
1786735208 36 0 1304112 1699963,0;
1786735209 36 0 1304240 1699963,0;
1786735210 36 0 1304368 1699963,0;
1786735211 36 0 1304368 1699963,0;
1786735213 36 0 1304368 1699963,0;
1786735214 36 0 1304368 1699963,0;
1786735215 36 0 1304368 1699963,0;
1786735216 36 0 1316016 1699963,0;
1786735217 36 0 1320880 1699963,0;
1786735218 36 0 1320880 1699963,0;
1786735220 36 0 1320880 1699963,0;
1786735221 36 0 1320880 1699963,0;
1786735222 36 0 1321008 1699963,0;
1786735223 36 0 1321008 1699963,0;
1786735224 36 0 1321008 1699963,0;
1786735225 36 0 1321008 1699963,0;
1786735227 36 0 1321008 1699963,0;
1786735228 36 0 1321008 1699963,0;
1786735229 36 0 1321008 1699963,0;
1786735230 36 0 1321008 1699963,0;
1786735231 36 0 1321008 1699963,0;
1786735232 36 0 1321008 1699963,0;
1786735234 36 0 1321008 1699963,0;
1786735235 36 0 1321008 1699963,0;
1786735236 36 0 1321008 1699963,0;
1786735237 36 0 1321008 1699963,0;
1786735238 36 0 1321008 1699963,0;
1786735239 36 0 1321008 1699963,0;
1786735241 36 0 1321008 1699963,0;
1786735242 36 0 1321008 1699963,0;
1786735243 36 0 1321008 1699963,0;
1786735244 36 0 1321008 1699963,0;
1786735245 36 0 1321008 1699963,0;
1786735246 36 0 1321008 1699963,0;
1786735248 36 0 1321008 1699963,0;
1786735249 36 0 1321008 1699963,0;
1786735250 36 0 1321008 1699963,0;
1786735251 36 0 1321008 1699963,0;
1786735252 36 0 1321008 1699963,0;
1786735253 36 0 1321008 1699963,0;
1786735255 36 0 1321008 1699963,0;
1786735256 36 0 1321008 1699963,0;
1786735257 36 0 1321008 1699963,0;
1786735258 36 0 1321008 1699963,0;
1786735259 36 0 1321008 1699963,0;
1786735260 36 0 1321008 1699963,0;
1786735261 36 0 1321008 1699963,0;
1786735263 36 0 1321008 1699963,0;
1786735264 36 0 1321136 1699963,0;
1786735265 36 0 1321136 1699963,0;
1786735266 36 0 1321136 1699963,0;
1786735267 36 0 1321136 1699963,0;
1786735268 36 0 1321136 1699963,0;
1786735270 36 0 1321136 1699963,0;
1786735271 36 0 1321136 1699963,0;
1786735272 36 0 1321136 1699963,0;
1786735273 36 0 1321136 1699963,0;
1786735274 36 0 1321136 1699963,0;
1786735275 36 0 1321136 1699963,0;
1786735277 36 0 1321136 1699963,0;
1786735278 36 0 1321136 1699963,0;
1786735279 36 0 1321136 1699963,0;
1786735280 36 0 1321136 1699963,0;
1786735281 36 0 1321136 1699963,0;
1786735282 36 0 1321392 1699963,0;
1786735283 36 0 1321392 1699963,0;
1786735285 36 0 1321392 1699963,0;
1786735286 36 0 1321392 1699963,0;
1786735287 36 0 1321392 1699963,0;
1786735288 36 0 1321392 1699963,0;
1786735289 36 0 1321392 1699963,0;
1786735290 36 0 1321392 1699963,0;
1786735292 36 0 1321392 1699963,0;
1786735293 36 0 1321392 1699963,0;
1786735294 36 0 1321392 1699963,0;
1786735295 36 0 1321392 1699963,0;
1786735296 36 0 1321392 1699963,0;
1786735297 36 0 1321392 1699963,0;
1786735299 36 0 1321392 1699963,0;
1786735300 36 0 1321392 1699963,0;
1786735301 36 0 1321392 1699963,0;
1786735302 36 0 1321392 1699963,0;
1786735303 36 0 1321392 1699963,0;
1786735304 36 0 1321392 1699963,0;
1786735306 36 0 1321392 1699963,0;
1786735307 36 0 1321392 1699963,0;
1786735308 36 0 1321392 1699963,0;
1786735309 36 0 1321392 1699963,0;
1786735310 36 0 1321392 1699963,0;
1786735311 36 0 1321392 1699963,0;
1786735313 36 0 1321392 1699963,0;
1786735314 36 0 1321392 1699963,0;
1786735315 36 0 1321392 1699963,0;
1786735316 36 0 1321392 1699963,0;
1786735317 36 0 1321392 1699963,0;
1786735318 36 0 1321392 1699963,0;
1786735320 36 0 1321392 1699963,0;
1786735321 36 0 1321392 1699963,0;
1786735322 36 0 1321392 1699963,0;
1786735323 36 0 1321392 1699963,0;
1786735324 36 0 1321392 1699963,0;
1786735325 36 0 1321392 1699963,0;
1786735327 36 0 1321392 1699963,0;
1786735328 36 0 1321392 1699963,0;
1786735329 36 0 1321392 1699963,0;
1786735330 36 0 1321520 1699963,0;
1786735331 36 0 1321520 1699963,0;
1786735332 36 0 1321520 1699963,0;
1786735334 36 0 1321520 1699963,0;
1786735335 36 0 1321520 1699963,0;
1786735336 36 0 1321776 1699963,0;
1786735337 36 0 1321776 1699963,0;
1786735338 36 0 1321776 1699963,0;
1786735339 36 0 1321776 1699963,0;
1786735340 36 0 1321776 1699963,0;
1786735342 36 0 1321776 1699963,0;
1786735343 36 0 1321776 1699963,0;
1786735344 36 0 1321776 1699963,0;
1786735345 36 0 1321776 1699963,0;
1786735346 36 0 1321776 1699963,0;
1786735347 36 0 1321776 1699963,0;
1786735349 36 0 1321776 1699963,0;
1786735350 36 0 1321776 1699963,0;
1786735351 36 0 1321776 1699963,0;
1786735352 36 0 1321776 1699963,0;
1786735353 36 0 1321776 1699963,0;
1786735354 36 0 1321776 1699963,0;
1786735356 36 0 1321776 1699963,0;
1786735357 36 0 1321776 1699963,0;
1786735358 36 0 1321776 1699963,0;
1786735359 36 0 1321776 1699963,0;
1786735360 36 0 1321776 1699963,0;
1786735361 36 0 1321776 1699963,0;
1786735363 36 0 1321776 1699963,0;
1786735364 36 0 1321776 1699963,0;
1786735365 36 0 1321776 1699963,0;
1786735366 36 0 1321776 1699963,0;
1786735367 36 0 1321904 1699963,0;
1786735368 36 0 1321904 1699963,0;
1786735370 36 0 1321904 1699963,0;
1786735371 36 0 1321904 1699963,0;
1786735372 36 0 1321904 1699963,0;
1786735373 36 0 1321904 1699963,0;
1786735374 36 0 1321904 1699963,0;
1786735375 36 0 1321904 1699963,0;
1786735376 36 0 1321904 1699963,0;
1786735378 36 0 1321904 1699963,0;
1786735379 36 0 1321904 1699963,0;
1786735380 36 0 1321904 1699963,0;
1786735381 36 0 1321904 1699963,0;
1786735382 36 0 1321904 1699963,0;
1786735383 36 0 1321904 1699963,0;
1786735385 36 0 1321904 1699963,0;
1786735386 36 0 1321904 1699963,0;
1786735387 36 0 1321904 1699963,0;
1786735388 36 0 1321904 1699963,0;
1786735389 36 0 1321904 1699963,0;
1786735390 36 0 1321904 1699963,0;
1786735392 36 0 1321904 1699963,0;
1786735393 36 0 1321904 1699963,0;
1786735394 36 0 1321904 1699963,0;
1786735395 36 0 1321904 1699963,0;
1786735396 36 0 1321904 1699963,0;
1786735397 36 0 1321904 1699963,0;
1786735399 36 0 1321904 1699963,0;
1786735400 36 0 1321904 1699963,0;
1786735401 36 0 1321904 1699963,0;
1786735402 36 0 1321904 1699963,0;
1786735403 36 0 1321904 1699963,0;
1786735404 36 0 1321904 1699963,0;
1786735406 36 0 1321904 1699963,0;
1786735407 36 0 1321904 1699963,0;
1786735408 36 0 1322544 1699963,0;
1786735409 36 0 1322672 1699963,0;
1786735410 36 0 1322672 1699963,0;
1786735411 36 0 1322672 1699963,0;
1786735412 36 0 1322672 1699963,0;
1786735414 36 0 1322672 1699963,0;
1786735415 36 0 1322672 1699963,0;
1786735416 36 0 1322672 1699963,0;
1786735417 36 0 1322672 1699963,0;
1786735418 36 0 1322672 1699963,0;
1786735419 36 0 1322672 1699963,0;
1786735421 36 0 1322672 1699963,0;
1786735422 36 0 1322672 1699963,0;
1786735423 36 0 1322672 1699963,0;
1786735424 36 0 1322672 1699963,0;
1786735425 36 0 1322672 1699963,0;
1786735426 36 0 1322672 1699963,0;
1786735428 36 0 1322672 1699963,0;
1786735429 36 0 1322672 1699963,0;
1786735430 36 0 1322672 1699963,0;
1786735431 36 0 1322672 1699963,0;
1786735432 36 0 1322672 1699963,0;
1786735433 36 0 1322672 1699963,0;
