# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786734922 0 4 none none
1786734927 0 3 none none
1786734932 0 3 none none
1786734937 0 3 none none
1786734940 0 4 65984 none
1786734945 0 3 255936 none
1786734950 0 4 300864 none
1786734955 0 3 317504 none
1786734959 0 4 658880 none
1786734964 0 4 856512 none
1786734965 0 0 857792 none
1786734966 0 0 858048 none
1786734967 5 0 858944 none
1786734969 5 0 922432 none
1786734970 5 0 922688 none
1786734971 5 0 922688 none
1786734972 5 0 922688 none
1786734973 5 0 922688 none
1786734974 5 0 951744 none
1786734975 5 0 972096 none
1786734976 5 0 972096 none
1786734977 5 0 980800 none
1786734979 5 0 980928 none
1786734980 5 0 980928 none
1786734981 5 0 1013056 none
1786734982 1 0 1148992 none
1786734983 35 0 1184676 1693298,0;
1786734984 35 0 1184804 1693298,0;
1786734985 36 0 1194724 1693298,0;
1786734986 36 9 1202408 1693298,0;
1786734988 36 16 1221584 1693298,0;
1786734989 36 0 1313360 1693298,0;
1786734990 1 0 1313360 none
1786734991 1 0 1311344 none
1786734992 1 0 1311472 none
1786734993 1 0 1311472 none
1786734994 1 0 1311472 none
1786734996 1 0 1311472 none
1786734997 1 0 1311472 none
1786734998 1 0 1311472 none
1786734999 1 0 1311472 none
1786735000 1 0 1311472 none
1786735001 1 0 1311472 none
1786735002 1 0 1311472 none
1786735003 1 0 1311472 none
1786735004 1 0 1311472 none
1786735006 1 0 1311472 none
1786735007 1 0 1311472 none
1786735008 1 0 1311472 none
1786735009 1 0 1311472 none
1786735010 1 0 1311472 none
1786735011 1 0 1311472 none
1786735012 1 0 1311472 none
1786735013 1 0 1311600 none
1786735015 1 0 1311600 none
1786735016 1 0 1311728 none
1786735017 1 0 none none
1786735019 0 4 none none
