# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786736923 0 3 none none
1786736928 0 4 none none
1786736933 0 3 none none
1786736938 0 4 none none
1786736943 0 4 90628 none
1786736948 0 4 262276 none
1786736953 0 3 302212 none
1786736958 0 4 407428 none
1786736962 0 4 652292 none
1786736967 0 4 878340 none
1786736968 0 0 879108 none
1786736969 0 0 879108 none
1786736970 5 0 891012 none
1786736972 5 0 931588 none
1786736973 5 0 931588 none
1786736974 5 0 931588 none
1786736975 5 0 931588 none
1786736976 5 0 931588 none
1786736977 5 0 953220 none
1786736978 5 0 953604 none
1786736979 5 0 956420 none
1786736980 5 0 964484 none
1786736982 5 0 965124 none
1786736983 5 0 965380 none
1786736984 5 0 1055876 none
1786736985 1 0 1166084 1757842,0;
1786736986 35 0 1174444 1757842,0;
1786736987 35 0 1174700 1757842,0;
1786736988 36 0 1189964 1757842,0;
1786736989 36 1 1193640 1757842,0;
1786736991 36 15 1211016 1757842,0;
1786736992 36 72 1214688 1757842,0;
1786736993 36 0 1244812 1757842,0;
1786736994 36 39 1256460 1757842,0;
1786736995 36 44 1262476 1757842,0;
1786736996 36 100 1262476 1757842,0;
1786736997 36 100 1262476 1757842,0;
1786736998 36 100 1262476 1757842,0;
1786737000 36 100 1262732 1757842,0;
1786737001 36 100 1263500 1757842,0;
1786737002 36 100 1263500 1757842,0;
1786737003 36 100 1263500 1757842,0;
1786737004 36 100 1263500 1757842,0;
1786737005 36 67 1263500 1757842,0;
1786737006 36 9 1298316 1757842,0;
1786737007 36 0 1378700 1757842,0;
1786737009 1 0 1378700 none
1786737010 1 0 1376908 none
1786737011 1 0 1376908 none
1786737012 1 0 1376908 none
1786737013 1 0 1376908 none
1786737014 1 0 1376908 none
1786737015 1 0 1376908 none
1786737016 1 0 1376908 none
1786737018 1 0 1376908 none
1786737019 1 0 1376908 none
1786737020 1 0 1376908 none
1786737021 1 0 1376908 none
1786737022 1 0 1378060 none
1786737023 1 0 1378060 none
1786737024 1 0 1378060 none
1786737026 1 0 1378060 none
1786737027 1 0 1378060 none
1786737028 1 0 1378060 none
1786737029 1 0 1378060 none
1786737030 1 0 1378060 none
1786737031 1 0 1378060 none
1786737035 1 0 none none
